cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
76.4029,64.9686,76.221,42.509,61.0,28.6325,26.3474,89.3649,1.0,True,False,True,True
4.2712,50.0694,89.8495,87.9047,81.0,42.3261,30.806,67.242,0.0,False,True,True,False
0.3489,55.0517,64.8074,48.9598,48.0,68.8873,97.1273,59.1364,0.0,False,True,False,False
70.2559,84.6308,18.4126,39.525,49.0,42.5861,86.3421,64.7084,1.0,True,False,False,True
54.0497,72.0854,95.6809,32.6957,57.0,93.4915,73.2544,61.2394,0.0,False,True,False,False
27.44,29.6017,28.3057,40.4535,93.0,65.2412,96.8743,39.5067,0.0,False,True,False,False
9.7272,37.733,76.3599,54.9675,26.0,3.3666,88.3231,48.8825,0.0,False,True,False,False
21.1072,90.008,50.8849,47.2626,35.0,21.1346,54.8997,84.8485,0.0,True,True,False,True
7.7709,12.6523,67.0195,17.6433,74.0,78.5135,24.2422,20.8055,1.0,True,True,False,False
55.0266,40.3841,55.7393,58.7482,59.0,19.4933,95.8524,76.5873,0.0,False,True,False,False
30.0231,56.371,74.4055,92.9508,16.0,70.6767,8.184,51.8207,1.0,True,True,True,True
49.9921,63.2165,41.9481,90.8837,91.0,53.3767,35.0903,65.9134,0.0,True,True,False,False
18.9362,78.3783,34.8719,89.0264,72.0,41.0213,1.4703,64.6767,0.0,False,True,False,False
63.4803,45.0452,80.6535,71.2046,37.0,38.9231,43.3783,58.7698,0.0,False,True,False,True
29.8717,84.2973,55.0394,4.5781,54.0,15.9707,54.2472,30.9978,1.0,True,False,False,False
56.8688,59.9143,53.355,17.4725,62.0,22.1636,72.3145,76.6192,0.0,True,True,False,False
12.7491,74.8213,24.9617,29.5974,0.0,17.6862,9.8819,14.3474,1.0,False,False,False,True
10.6742,15.5242,93.6079,37.2073,37.0,79.2998,31.8698,70.3728,0.0,False,True,False,False
35.1078,55.2598,87.8796,87.3725,52.0,71.317,40.4785,51.7684,0.0,True,True,False,False
22.8154,60.0673,45.7474,85.451,7.0,23.6141,51.6742,61.508,1.0,True,True,True,True
72.2626,88.6675,60.2498,81.2714,67.0,77.3527,29.5165,21.9567,0.0,False,True,False,False
71.0323,85.3197,24.8878,61.6947,89.0,64.7854,50.4512,88.6261,1.0,True,False,True,True
21.7355,56.158,41.2735,75.4902,30.0,10.213,63.5315,30.3796,0.0,True,True,False,True
13.9584,77.7017,35.3368,77.2265,97.0,60.9162,16.7416,41.7814,0.0,False,True,False,True
30.6147,44.407,72.9637,94.9698,87.0,45.7764,77.65,87.8573,1.0,True,False,True,True
16.3035,81.7631,46.8754,68.163,63.0,13.7228,6.9415,25.6047,1.0,True,True,True,True
63.1006,90.0702,91.4992,89.2131,73.0,22.9254,39.9316,30.071,0.0,True,True,False,False
37.2759,19.011,48.1194,57.7892,34.0,92.3999,61.8808,15.8965,1.0,False,True,True,False
