cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
15.6117,72.2856,82.0681,20.2918,45.0,7.1807,99.2081,14.4413,0.0,True,False,False,False
67.1194,78.6689,34.2812,47.3848,16.0,42.1792,5.2157,24.7696,1.0,False,False,True,True
86.3588,85.1907,46.2181,22.8672,99.0,99.7813,47.9637,1.8746,1.0,False,False,False,False
83.631,44.8583,54.5691,76.3813,25.0,54.2859,10.1039,46.5099,1.0,False,False,False,False
57.0593,6.5731,60.6014,94.1547,63.0,80.6602,23.2073,22.4629,0.0,False,False,False,False
71.9968,40.4356,19.2404,9.3972,4.0,32.1609,44.2278,48.4914,1.0,False,False,False,False
34.6111,50.8453,3.5813,99.9536,26.0,7.6709,3.397,31.9363,0.0,False,False,False,False
15.9945,21.7257,62.9183,23.3546,76.0,40.3689,5.1428,99.6044,0.0,False,False,False,True
85.937,81.8213,85.2204,20.6852,87.0,13.4567,1.6044,16.7105,0.0,False,False,False,False
44.22,95.2744,34.6746,45.9236,10.0,61.6302,93.7495,41.526,1.0,True,False,False,False
33.8975,29.5954,12.939,19.2955,8.0,75.7501,51.9599,31.6382,0.0,False,False,False,False
62.1042,33.3151,15.3682,28.9689,8.0,30.2084,64.5392,94.5396,1.0,False,False,False,False
95.2107,2.3272,9.6531,97.0276,39.0,60.0393,1.4876,61.3679,1.0,False,False,False,False
64.7868,68.2787,22.9707,53.7021,73.0,86.9332,59.9198,48.6303,1.0,False,False,False,False
75.6571,53.1107,31.1674,55.2353,85.0,58.5585,99.1939,63.2935,1.0,True,False,False,False
98.96,95.6325,36.749,0.7858,77.0,80.5499,92.3321,93.9324,1.0,False,False,False,False
38.6728,40.1261,59.6061,18.7007,59.0,79.1893,50.2315,7.6511,1.0,True,False,False,False
60.303,99.5417,64.9004,76.9641,46.0,89.8844,39.5796,24.2013,0.0,False,True,False,True
30.7082,59.9845,59.5622,30.4803,49.0,71.1846,46.2039,12.0967,1.0,True,False,False,True
74.9353,41.8405,17.3157,68.9314,0.0,64.9267,61.2961,96.6595,0.0,False,False,False,True
97.5747,63.6774,87.7856,42.2784,59.0,53.1653,35.3354,41.5843,0.0,False,False,False,False
15.6574,64.4914,39.7039,10.0253,30.0,16.3661,35.8889,92.8169,0.0,False,False,False,False
26.8949,81.1478,1.6209,69.5139,94.0,11.6804,23.7607,3.1175,0.0,False,False,False,False
28.5624,61.8498,32.8928,88.8135,89.0,11.9617,76.5954,77.6919,0.0,False,True,False,True
71.5625,80.8716,42.8214,33.6887,58.0,57.799,59.5889,66.0437,0.0,False,False,False,False
16.5403,76.9181,38.3774,43.9004,51.0,89.8738,59.6935,70.7456,0.0,False,False,False,False
95.0943,12.362,80.4173,29.8277,7.0,13.5732,62.3393,94.0194,0.0,False,False,False,False
92.5074,49.7359,4.5781,95.9324,29.0,66.8857,94.3814,56.8671,0.0,False,False,False,False
88.7789,69.1239,61.4228,89.869,56.0,78.631,74.5953,4.5526,1.0,False,False,False,False
15.7314,65.8091,32.9402,29.1801,33.0,26.9906,88.5676,39.3633,1.0,True,False,True,True
79.286,16.8687,60.9582,19.2435,17.0,1.7975,43.2876,81.3663,1.0,True,False,False,False
8.2633,17.367,82.28,61.7062,62.0,99.2425,80.2365,32.3907,1.0,False,False,False,False
26.4068,73.5648,33.9293,42.5997,35.0,37.2851,43.3656,24.3744,1.0,True,False,True,True
32.9745,59.1368,77.0222,70.3449,62.0,11.3127,92.0433,52.9038,0.0,True,True,False,False
40.2896,73.2135,66.6311,54.1046,30.0,97.8129,19.7783,84.3139,0.0,False,False,False,False
25.1253,30.2724,65.9445,29.9976,15.0,93.5911,91.0418,23.3445,1.0,False,False,False,False
0.824,80.8856,15.4124,74.1041,53.0,95.4343,34.8038,51.8821,1.0,False,False,False,True
58.1015,75.2204,60.3196,88.4837,55.0,26.785,45.2402,34.4515,0.0,False,True,False,True
59.3692,43.0592,5.1128,29.3462,10.0,54.6105,86.676,64.4723,1.0,False,False,False,False
80.6658,8.427,51.0998,3.6465,93.0,45.2392,24.5785,35.2081,0.0,False,False,False,False
87.7473,5.7271,41.2296,99.9046,84.0,98.5932,92.494,82.4574,1.0,False,False,False,False
25.5174,55.0895,21.5866,85.4551,74.0,91.7261,56.9724,27.1919,1.0,True,False,True,True
44.3395,83.434,51.1066,66.461,3.0,74.5225,10.9847,94.9759,1.0,False,False,False,False
19.6214,96.8515,81.9694,68.5289,44.0,5.2124,61.5697,40.3647,0.0,True,True,False,False
16.6881,91.129,52.392,85.0347,42.0,18.1736,80.4846,44.2358,1.0,True,False,True,True
35.3514,61.0921,55.4608,9.813,37.0,2.1685,49.5013,19.8876,1.0,True,False,False,True
14.8924,28.9642,54.1692,69.1636,24.0,4.3814,38.9104,98.134,1.0,False,False,True,True
75.4686,93.3289,34.3859,15.9954,40.0,78.4627,22.0575,81.5145,1.0,True,False,False,False
9.8583,39.7301,24.9866,90.9334,66.0,91.6492,66.0918,46.3729,0.0,False,False,False,False
8.9048,76.932,95.788,69.331,96.0,9.876,89.58,97.2074,0.0,False,False,False,False
95.7721,15.5625,23.7393,6.7006,49.0,35.6574,2.9625,17.0886,0.0,False,False,False,False
55.4339,5.202,26.1702,39.162,3.0,63.6915,91.2666,14.3336,1.0,False,False,False,False
23.9211,59.09,93.4328,86.7968,84.0,33.8855,99.4061,41.3254,1.0,True,False,False,False
48.264,48.76,27.6124,34.9078,5.0,62.3492,70.5938,8.5895,0.0,False,False,False,False
44.2871,75.2318,94.6586,66.6876,98.0,83.6691,49.9964,34.2811,0.0,False,False,False,False
17.887,81.4438,54.657,84.4651,80.0,83.8479,65.3084,57.8542,1.0,True,False,True,True
50.1582,56.4068,92.356,76.3608,18.0,37.1863,70.4431,58.5597,1.0,True,True,True,True
62.2017,46.9011,16.412,83.1915,55.0,2.7235,0.3099,50.8847,0.0,False,False,False,True
61.4375,40.416,43.3816,62.0588,35.0,31.4946,46.995,60.0942,1.0,True,True,True,True
21.4772,47.0451,20.8246,60.3649,90.0,40.2136,20.7612,41.2655,0.0,False,False,False,False
