cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
22.8428,69.8406,25.3046,56.7951,81.0,32.6096,74.1027,42.3448,1.0,True,True,True,True
21.7642,59.3833,99.4283,89.0367,65.0,27.5778,13.5602,56.2711,0.0,True,True,True,True
76.7104,81.687,59.1878,42.6918,58.0,65.4104,67.1406,42.9376,1.0,True,True,True,True
21.0911,93.1458,55.8481,28.0944,71.0,95.966,20.8092,57.9779,1.0,False,False,False,False
90.9777,54.342,10.35,67.0115,44.0,79.8326,85.9162,73.8506,1.0,False,False,False,False
16.4909,49.2093,43.4024,42.0992,97.0,16.7955,88.8185,78.6893,1.0,True,True,True,True
59.0162,70.814,72.1325,77.8438,54.0,91.7397,32.4797,5.18,1.0,False,False,False,False
55.0711,25.8142,83.3371,0.9475,48.0,98.5913,96.5741,14.5121,0.0,False,False,False,False
23.9923,62.1636,53.2929,70.5115,33.0,53.7774,6.9497,55.7963,1.0,True,True,True,True
46.5936,92.3813,59.0675,69.7701,97.0,80.6006,55.0275,32.2146,1.0,True,True,True,True
18.1797,30.7546,8.3425,6.5077,77.0,38.9179,81.9749,47.4881,1.0,False,False,False,False
0.8502,84.5687,71.205,70.8909,74.0,70.8834,73.5082,61.5287,0.0,True,True,True,True
19.0693,58.7647,47.4315,57.3378,58.0,87.4742,39.8852,20.6232,1.0,True,True,True,True
80.5135,52.9242,73.9968,39.7037,59.0,76.3727,12.109,75.2897,0.0,False,False,False,False
65.3874,24.2215,5.2305,22.0714,1.0,87.0569,23.2382,61.1533,1.0,False,False,False,False
51.1181,49.5569,54.9069,96.3102,74.0,71.1387,62.4626,52.7959,0.0,False,False,False,False
59.4096,19.3754,32.7735,53.1903,6.0,16.3723,66.0108,74.282,0.0,False,False,False,False
53.2225,60.0409,96.8513,80.1268,55.0,2.8801,33.3597,58.773,1.0,True,True,True,True
52.1024,0.8143,49.9151,38.1485,31.0,3.6729,66.3874,15.9711,1.0,False,False,False,False
6.7402,56.6534,84.315,52.8494,30.0,7.0748,23.6402,14.3108,1.0,True,True,True,True
13.8447,47.3496,73.5978,89.1647,14.0,40.953,34.1414,12.8226,1.0,True,True,True,True
25.4583,55.6458,6.5442,17.3222,38.0,99.7863,65.4099,4.3915,1.0,False,False,False,False
66.5568,80.2615,95.1164,78.0235,44.0,7.9224,83.9509,12.0739,1.0,True,True,True,True
54.4309,56.6762,65.8261,52.5328,54.0,32.4944,72.4961,89.9465,1.0,True,True,True,True
93.1766,86.6119,28.4797,43.2913,69.0,17.1633,29.2019,94.5787,0.0,False,False,False,False
16.4667,26.1796,97.1814,39.0085,64.0,2.7289,48.0779,32.9972,1.0,True,True,True,True
9.8592,75.1834,51.8769,61.2271,66.0,92.9079,10.657,41.414,1.0,True,True,True,True
92.0069,68.6596,69.6865,82.4687,84.0,15.293,25.0967,3.9927,1.0,False,False,False,False
46.4319,70.1865,17.9379,34.5242,11.0,5.3272,28.9944,1.3397,0.0,False,False,False,False
20.4406,92.2222,93.4112,86.2041,71.0,58.8535,56.467,54.891,1.0,True,True,True,True
6.4251,98.8499,2.145,98.3098,92.0,64.0424,89.0034,83.6641,0.0,False,False,False,False
50.6085,88.6494,87.4499,62.4161,68.0,36.4237,44.8908,81.4175,1.0,True,True,True,True
32.9159,68.3963,89.6795,61.6691,18.0,68.0386,34.0657,27.3398,1.0,True,True,True,True
96.4314,49.9121,93.6194,98.8368,1.0,84.7024,48.7438,97.2294,0.0,False,False,False,False
60.8072,34.852,88.4651,92.4691,70.0,46.5874,47.3499,49.6109,1.0,True,True,True,True
69.5157,87.2869,86.8876,53.3515,40.0,14.8039,19.3224,16.25,1.0,True,True,True,True
55.3345,90.5573,97.1282,83.1021,86.0,52.1946,90.6907,8.377,1.0,True,True,True,True
35.6578,9.6475,7.826,65.7039,60.0,35.8592,13.5,61.27,1.0,False,False,False,False
47.3608,96.4527,66.5301,24.9326,34.0,23.4238,28.4606,15.1629,1.0,True,True,True,True
71.4953,21.538,47.2821,22.0483,11.0,57.3608,1.0489,75.7936,1.0,False,False,False,False
78.3717,69.3031,8.4015,21.9127,9.0,98.1275,53.344,38.8419,0.0,False,False,False,False
25.2939,32.0862,24.1292,53.9926,82.0,29.5723,58.1764,39.4188,1.0,True,True,True,True
69.0182,49.3157,79.5024,75.915,22.0,8.9693,68.7772,12.3974,1.0,True,True,True,True
93.2318,65.5792,68.0973,1.4375,59.0,0.1474,95.2341,87.1256,0.0,False,False,False,False
86.505,59.0386,3.832,31.8141,93.0,86.8035,30.8399,97.7854,0.0,False,False,False,False
39.0081,60.7035,47.9002,94.7867,68.0,49.7824,28.3413,90.1966,1.0,True,True,True,True
92.7483,83.8154,50.8587,90.2507,53.0,84.0606,55.7712,41.5602,1.0,False,False,False,False
28.5959,77.2633,44.9223,38.3844,41.0,88.3238,48.6082,94.1958,0.0,False,False,False,False
35.2562,86.4822,84.4635,44.975,20.0,56.0593,10.7297,39.5985,1.0,True,True,True,True
5.8746,70.2195,53.3178,43.1183,48.0,53.4524,25.0184,37.0279,1.0,True,True,True,True
26.6854,74.2411,25.0178,53.3323,77.0,10.4957,42.3328,9.8665,1.0,True,True,True,True
22.7513,23.5328,51.4988,47.8829,88.0,21.8708,36.8728,95.9052,0.0,False,False,False,False
11.2024,39.1503,42.6002,32.5203,36.0,64.4387,8.7317,44.1198,1.0,True,True,True,True
52.7805,63.6037,50.4223,51.0568,42.0,72.1696,34.0769,14.9239,1.0,True,True,True,True
76.4695,30.5729,84.0265,77.242,70.0,2.9863,23.4474,71.4629,1.0,True,True,True,True
52.5961,64.0773,75.547,27.5323,56.0,12.4275,45.2253,38.203,1.0,True,True,True,True
1.5141,66.3372,62.4884,46.7732,89.0,75.2377,61.1209,24.7318,1.0,True,True,True,True
61.5787,34.2182,44.4659,57.7256,2.0,6.7883,72.4668,94.0153,0.0,False,False,False,False
96.9035,55.6137,9.5075,84.5958,75.0,13.7746,28.186,26.394,1.0,False,False,False,False
13.3511,99.9914,33.5377,75.5341,60.0,80.4377,78.1995,60.6813,1.0,True,True,True,True
91.6424,60.8088,81.8638,58.5896,76.0,63.6696,38.9024,23.4912,0.0,False,False,False,False
29.4355,90.7268,21.743,63.5013,17.0,40.5175,21.2195,71.1439,1.0,True,True,True,True
24.39,21.9298,57.1891,51.3995,78.0,49.047,56.0714,79.0609,1.0,True,True,True,True
22.3972,60.4377,83.8941,64.8964,58.0,78.6132,10.7357,53.9375,1.0,True,True,True,True
46.4855,87.8851,49.2025,85.1001,54.0,10.0588,52.2072,56.0873,0.0,True,True,True,True
12.7802,60.665,93.5708,74.5636,82.0,37.0239,55.9426,88.7439,1.0,True,True,True,True
