cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
0.0,56.493,79.818,56.0067,39.0,77.1984,84.8851,87.3155,0.0,False,False,False,False
25.2645,75.2505,50.299,94.602,27.0,61.2247,58.3342,36.4653,0.0,True,True,False,False
0.0,82.0461,68.87099999999998,55.2701,48.0,4.4584,79.6079,35.6638,0.0,True,True,False,False
47.4905,82.75350000000002,100.0,62.7395,41.0,27.4842,66.4937,84.6912,1.0,True,True,True,True
22.7355,75.2505,100.0,90.4678,50.0,24.2796,66.3872,53.8746,1.0,True,False,True,True
22.115700000000004,81.50300000000001,100.0,81.4813,59.0,17.0169,50.942,87.7398,1.0,True,False,True,True
5.496399999999984,85.25450000000001,88.24949999999998,83.6282,82.0,60.1713,91.3736,87.5405,0.0,False,True,False,False
0.0,86.0331,91.4676,68.4481,92.0,90.9833,44.2826,63.6043,0.0,False,False,False,False
47.471,75.2505,52.897,71.2328,6.0,4.1116,74.4987,25.5534,1.0,True,False,False,False
0.0,35.23449999999998,56.794,29.2613,21.0,61.9747,25.8511,16.7073,0.0,False,True,False,False
0.0,50.771,96.681,99.3079,61.0,37.236,5.0547,87.4078,0.0,False,True,True,True
19.0028,77.75150000000001,78.6135,1.3674,48.0,79.6486,98.1056,42.1946,1.0,True,False,False,False
47.4905,82.76960000000001,100.0,40.8529,84.0,11.2441,69.9599,65.2669,1.0,True,True,True,True
27.1206,77.75150000000001,77.409,9.4949,93.0,70.9955,39.876,75.0172,1.0,True,False,True,True
100.0,100.0,74.62420000000002,89.8297,8.0,71.3902,46.5133,65.3516,0.0,False,False,False,False
27.239000000000004,95.2585,70.4248,12.5479,61.0,53.872,16.304,8.2088,0.0,True,False,False,False
27.4145,89.89179999999999,83.4315,17.0397,25.0,50.5089,74.2436,36.9883,0.0,False,False,False,False
24.3159,85.25450000000002,99.08999999999992,19.8114,62.0,10.1994,39.2058,56.9172,1.0,True,False,True,True
34.4309,76.501,72.402,86.7432,91.0,11.655,75.7676,15.1904,0.0,True,True,False,False
48.7355,100.0,100.0,40.9705,49.0,9.658,66.4644,49.3543,1.0,True,False,True,True
15.509,87.75550000000001,89.2406,11.455,73.0,95.201,3.4457,74.1601,1.0,False,False,False,False
24.904999999999998,81.50300000000001,83.43150000000001,12.6085,80.0,70.5873,48.2032,79.2291,0.0,False,False,False,False
100.0,100.0,91.63279999999996,23.8491,55.0,92.805,62.4949,69.4505,0.0,False,False,False,True
27.9103,75.2505,77.4337,36.5158,41.0,0.0984,46.9414,81.486,0.0,True,False,False,True
35.5216,75.5481,89.994,79.1366,63.0,69.7259,55.7071,68.2353,0.0,False,True,True,False
26.3526,50.2905,76.20450000000001,14.1078,40.0,61.8928,9.5212,32.9336,1.0,True,False,False,True
0.0,67.74749999999999,78.6135,43.5842,72.0,77.9076,34.1813,50.5773,0.0,False,True,False,False
22.7355,75.2505,100.0,86.4162,91.0,51.7155,67.7377,45.9344,1.0,True,True,True,True
34.72900000000001,75.57370000000002,62.1489,37.1412,52.0,92.5946,56.8162,19.2529,0.0,False,False,False,False
7.338500000000003,76.501,88.24950000000001,24.2018,65.0,46.8735,63.7628,57.8218,0.0,True,True,False,False
52.529,100.0,55.495,32.7562,0.0,32.1194,81.235,13.8129,1.0,False,False,False,False
30.3225,77.75150000000001,72.402,11.4747,66.0,89.9634,19.3913,24.6554,0.0,False,False,False,False
48.7355,82.75350000000002,100.0,64.24,84.0,38.6778,63.6438,19.1078,1.0,True,False,True,True
34.296699999999994,75.2505,76.20450000000001,26.2828,40.0,18.5252,31.1621,55.3603,0.0,True,False,False,True
27.414500000000004,100.0,88.24950000000001,1.6865,38.0,59.8839,59.3309,90.4843,1.0,True,False,False,False
100.0,100.0,95.47650000000002,18.4657,58.0,97.5697,43.2352,48.3244,0.0,False,False,False,False
0.0,65.24650000000001,54.196,92.9389,23.0,71.8168,9.6638,30.6431,0.0,False,True,False,False
27.793499999999995,75.2505,50.299,47.6737,52.0,32.2233,26.4529,56.8542,0.0,True,True,False,True
17.123000000000005,87.75550000000001,65.88700000000001,88.5897,80.0,53.9949,67.4807,1.6423,1.0,True,False,False,False
27.414500000000004,87.75550000000001,87.04500000000002,4.9553,56.0,73.3798,31.0695,56.0104,1.0,True,False,False,False
