,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,iterations_anchors
0,"[ 0.47591347 99.99844734 74.36569342 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[ 1.01338586 99.9914     74.74429293 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]",[ 0.     56.493  79.818  56.0067 39.     77.1984 84.8851 87.3155  0.    ],[0.3415245  0.72166671 0.07416728 0.64380831],[0.3415245  0.73882625 0.07416728 0.53532541],[0.3415245  0.55308248 0.02088434 0.34175378],0.08703924233033622,0.08759230976430976,0.2122966666666667,0.000553067433973542,0.12470435690235693,0.12525742433633047,0.006354230794823666,1.4236907011346878,1.4390913912249657,6.485478639602661,0.17510581016540527,2.059274435043335,37.03748398454892,3.1493998707686486,0.08503277037075459,84
1,"[ 0.45662676 94.2943761  95.06734533 94.602      27.         61.2247
 58.3342     36.4653      0.        ]","[ 1.01338586 98.9914     94.94285859 94.602      27.         61.2247
 58.3342     36.4653      0.        ]",[25.2645 75.2505 50.299  94.602  27.     61.2247 58.3342 36.4653  0.    ],[0.50939975 0.79434671 0.40015495 0.69327533],[0.47566745 0.78944199 0.24708486 0.65722871],[0.49181609 0.73915293 0.05649417 0.37542596],0.036983017756206604,0.023597090909091012,0.33238333333333336,-0.013385926847115592,0.30878624242424235,0.29540031557712676,-0.3619479333827247,13.085775853212457,7.987458393049923,6.256617307662964,0.6852519512176514,0.5105836391448975,9.1303896275601,12.253853880122884,1.3420953957030048,42
2,"[ 0.40493669 95.12763104 98.51909452 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[ 1.01338586 75.75792121 67.67479495 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]",[ 0.     82.0461 68.871  55.2701 48.      4.4584 79.6079 35.6638  0.    ],[0.76955275 0.77183484 0.6731981  0.57815498],[0.76955275 0.75274353 0.0705427  0.75087559],[0.76955275 0.65987983 0.0705427  0.85759354],0.02252737043192532,0.19193556565656567,0.16360966666666676,0.16940819522464035,-0.0283258989898989,0.14108229623474144,7.52010518655824,-0.14758025117962256,6.26270592304917,7.4549560546875,0.15106606483459473,1.2265918254852295,49.348978957319645,6.077780643726679,0.12315919745742171,96
3,"[13.21249464 99.97168026 99.95113867 62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[13.13321616 99.9914     99.9925     62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[ 47.4905  82.7535 100.      62.7395  41.      27.4842  66.4937  84.6912
   1.    ]",[0.94220068 0.59395349 0.9947114  0.99682438],[0.79436642 0.59395349 0.9947114  0.99682438],[0.76983147 0.4317811  0.98686105 0.9983322 ],0.04429891903618244,0.04383105387205399,0.21579000000000004,-0.0004678651641284448,0.17195894612794604,0.1714910809638176,-0.010561548098866752,3.9232218013718447,3.871224957515267,7.171391010284424,0.11263680458068848,11.206170320510864,63.66827465481878,0.6399502064642452,0.010051320063780149,1002
4,"[ 0.86895645 99.9991706  95.53175375 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]","[14.14320202 99.9914     76.78400606 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]","[ 22.7355  75.2505 100.      90.4678  50.      24.2796  66.3872  53.8746
   1.    ]",[0.9551703  0.60950702 0.99802727 0.99941766],[0.9551703  0.51231868 0.99799722 0.99835521],[0.9551703  0.39358806 0.99032074 0.99781775],0.017793440367580793,0.12455931986531976,0.15828333333333333,0.10676587949773897,0.03372401346801357,0.14048989296575254,6.000294338371108,0.27074660896091746,7.895600292213396,5.496501207351685,0.7604918479919434,11.156141996383667,7.227560981574012,0.4926883513255218,0.06816799644881372,1002
5,"[ 0.88098516 99.9999808  99.96363052 81.4813     59.         17.0169
 50.942      87.7398      1.        ]","[3.40000e-03 9.99914e+01 9.99925e+01 8.14813e+01 5.90000e+01 1.70169e+01
 5.09420e+01 8.77398e+01 1.00000e+00]","[ 22.1157  81.503  100.      81.4813  59.      17.0169  50.942   87.7398
   1.    ]",[0.93926565 0.6890304  0.99489719 0.99819833],[0.78563238 0.62890456 0.99489719 0.9974336 ],[0.78563238 0.4866502  0.98803723 0.99707377],0.0030579128000886024,6.499999999998174e-05,0.13537566666666667,-0.0029929128000886207,0.1353106666666667,0.13231775386657807,-0.9787436711739791,2081.702564103149,43.27061054937348,7.39067816734314,0.1150670051574707,20.926871299743652,64.22934321814407,0.3531668953989158,0.005498528829719531,1002
6,"[ 0.87887709 50.00999909 95.30454154 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]","[ 1.01338586 76.501      75.409      83.6282     82.         60.1713
 91.3736     87.5405      0.        ]",[ 5.4964 85.2545 88.2495 83.6282 82.     60.1713 91.3736 87.5405  0.    ],[0.46514959 0.78442457 0.08790865 0.52340895],[0.50145506 0.706002   0.02776158 0.27780002],[0.50145506 0.69653954 0.05611465 0.19355378],0.18521445488127664,0.16367795286195286,0.10664133333333325,-0.021536502019323778,-0.0570366195286196,-0.07857312154794338,-0.11627873231130248,-0.34846855383586506,-0.42422780445678027,7.562959909439087,0.26001548767089844,2.5418031215667725,29.086574715932013,2.9754310415581138,0.10229568351093392,90
7,"[ 0.87058843 94.26247659 51.74557829 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]","[ 1.01338586 90.90384545 89.89321717 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]",[ 0.     86.0331 91.4676 68.4481 92.     90.9833 44.2826 63.6043  0.    ],[0.07757835 0.75315554 0.58282739 0.83690518],[0.07077554 0.6681698  0.33157498 0.80597091],[0.08370165 0.51540003 0.26877308 0.74071443],0.18287511184577498,0.06738774410774417,0.07499766666666663,-0.11548736773803081,0.007609922558922455,-0.10787744517910836,-0.6315094852022586,0.11292739740263728,-0.5898968103985915,7.396194219589233,0.15526127815246582,1.1558349132537842,47.63708187643674,6.399005718531421,0.13432824737521615,72
8,"[ 0.12346081 95.36359171 92.79090205 71.2328      6.          4.1116
 74.4987     25.5534      1.        ]","[3.40000000e-03 9.99914000e+01 4.34365162e+01 7.12328000e+01
 6.00000000e+00 4.11160000e+00 7.44987000e+01 2.55534000e+01
 1.00000000e+00]",[47.471  75.2505 52.897  71.2328  6.      4.1116 74.4987 25.5534  1.    ],[0.71298923 0.80068723 0.12985493 0.88824379],[0.7267314  0.77631363 0.0810773  0.82455087],[0.70693651 0.12072825 0.10624006 0.81051558],0.039896556832588304,0.18858494612794607,0.3977450000000001,0.14868838929535777,0.20916005387205405,0.3578484431674118,3.7268476555326733,1.1091025989431242,8.969406675092173,6.369366884231567,0.13945317268371582,0.938582181930542,45.673875765289985,6.786157895231512,0.14857854258097966,48
9,"[1.89686522e-02 7.12104489e+01 8.31820725e+01 2.92613000e+01
 2.10000000e+01 6.19747000e+01 2.58511000e+01 1.67073000e+01
 0.00000000e+00]","[3.40000000e-03 5.96411818e+01 7.17145081e+01 2.92613000e+01
 2.10000000e+01 6.19747000e+01 2.58511000e+01 1.67073000e+01
 0.00000000e+00]",[ 0.     35.2345 56.794  29.2613 21.     61.9747 25.8511 16.7073  0.    ],[0.4500167  0.48194126 0.00701977 0.6874572 ],[0.4500167  0.48194126 0.00585167 0.5407508 ],[0.35485223 0.40842229 0.00145461 0.31745809],0.15208815753903415,0.22882570033670047,0.35990500000000014,0.07673754279766631,0.13107929966329968,0.207816842460966,0.5045596188379838,0.572834692389998,1.366423565277453,7.002657175064087,1.6480939388275146,0.4908638000488281,4.248942982003751,14.26598819136287,3.3575381575572947,96
