cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
39.962,100.0,99.62000000000008,56.0067,39.0,77.1984,84.8851,87.3155,0.0,True,False,False,False
25.9675,91.26679999999998,100.0,94.602,27.0,61.2247,58.3342,36.4653,0.0,False,True,False,True
47.4905,100.0,100.0,55.2701,48.0,4.4584,79.6079,35.6638,0.0,False,True,True,False
66.512,54.082,51.8691,62.7395,41.0,27.4842,66.4937,84.6912,1.0,True,True,True,True
1.5347,30.0826,85.1261,90.4678,50.0,24.2796,66.3872,53.8746,1.0,True,True,True,True
34.6632,31.0703,31.426,81.4813,59.0,17.0169,50.942,87.7398,1.0,True,False,True,True
27.735000000000007,55.45250000000001,95.927,83.6282,82.0,60.1713,91.3736,87.5405,0.0,True,True,False,False
47.4905,100.0,100.0,68.4481,92.0,90.9833,44.2826,63.6043,0.0,False,True,True,False
12.0518,70.6066,62.50090000000001,71.2328,6.0,4.1116,74.4987,25.5534,1.0,True,True,False,True
52.50950000000001,95.25850000000004,100.0,29.2613,21.0,61.9747,25.8511,16.7073,0.0,False,True,False,False
27.470300000000016,76.58099999999999,97.60850000000003,99.3079,61.0,37.236,5.0547,87.4078,0.0,False,True,False,True
19.0028,76.501,32.466,1.3674,48.0,79.6486,98.1056,42.1946,1.0,True,False,False,False
81.1899,81.51910000000001,34.4572,40.8529,84.0,11.2441,69.9599,65.2669,1.0,True,False,True,True
4.5351,23.0629,61.6427,9.4949,93.0,70.9955,39.876,75.0172,1.0,True,False,False,False
52.50950000000001,95.25850000000004,100.0,89.8297,8.0,71.3902,46.5133,65.3516,0.0,False,True,False,False
27.735000000000007,81.50300000000001,100.0,12.5479,61.0,53.872,16.304,8.2088,0.0,False,False,False,False
52.50950000000001,95.13379999999998,100.0,17.0397,25.0,50.5089,74.2436,36.9883,0.0,True,False,False,False
26.8254,25.6268,41.1439,19.8114,62.0,10.1994,39.2058,56.9172,1.0,True,False,False,True
5.581399999999999,100.0,100.0,86.7432,91.0,11.655,75.7676,15.1904,0.0,True,False,False,False
49.0866,100.0,91.8601,40.9705,49.0,9.658,66.4644,49.3543,1.0,True,True,True,True
35.5745,22.9784,78.4001,11.455,73.0,95.201,3.4457,74.1601,1.0,False,False,False,False
24.000000000000004,100.0,99.02890000000018,12.6085,80.0,70.5873,48.2032,79.2291,0.0,True,False,False,False
49.6341,100.0,100.0,23.8491,55.0,92.805,62.4949,69.4505,0.0,False,False,False,False
