cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
10.103258585858583,99.9914,40.40673131313131,56.0067,39.0,77.1984,84.8851,87.3155,0.0,False,True,False,False
10.103258585858583,88.88438888888888,40.40673131313131,94.602,27.0,61.2247,58.3342,36.4653,0.0,False,True,False,True
10.103258585858583,88.88438888888888,40.40673131313131,55.2701,48.0,4.4584,79.6079,35.6638,0.0,True,True,False,False
24.2430606060606,99.9914,99.9925,62.7395,41.0,27.4842,66.4937,84.6912,1.0,True,False,True,True
24.5347,99.9914,42.943,90.4678,50.0,24.2796,66.3872,53.8746,1.0,True,True,True,True
0.0034,99.9914,99.9925,81.4813,59.0,17.0169,50.942,87.7398,1.0,True,True,True,True
24.2430606060606,88.9914,39.71450808080807,83.6282,82.0,60.1713,91.3736,87.5405,0.0,False,True,False,True
10.103258585858583,99.9914,40.40673131313131,68.4481,92.0,90.9833,44.2826,63.6043,0.0,False,True,False,False
0.0034,99.9914,71.71450808080807,71.2328,6.0,4.1116,74.4987,25.5534,1.0,True,False,True,True
0.0034,99.9914,39.39680303030303,29.2613,21.0,61.9747,25.8511,16.7073,0.0,False,False,False,False
0.0034,88.88438888888888,40.40673131313131,99.3079,61.0,37.236,5.0547,87.4078,0.0,False,False,False,True
24.0028,99.9914,29.466,1.3674,48.0,79.6486,98.1056,42.1946,1.0,True,False,False,False
24.2430606060606,99.9914,71.71450808080807,40.8529,84.0,11.2441,69.9599,65.2669,1.0,True,False,True,True
24.2430606060606,99.9914,71.71450808080807,9.4949,93.0,70.9955,39.876,75.0172,1.0,True,False,False,True
0.0034,99.9914,39.40673131313131,89.8297,8.0,71.3902,46.5133,65.3516,0.0,False,False,False,False
0.0034,99.9914,38.38687474747474,12.5479,61.0,53.872,16.304,8.2088,0.0,True,False,False,False
24.51,99.9914,23.2979,17.0397,25.0,50.5089,74.2436,36.9883,0.0,True,True,False,False
24.51,99.9914,39.1439,19.8114,62.0,10.1994,39.2058,56.9172,1.0,True,False,True,True
24.2430606060606,99.9914,39.71450808080807,86.7432,91.0,11.655,75.7676,15.1904,0.0,True,True,False,False
24.103258585858583,99.9914,71.71450808080807,40.9705,49.0,9.658,66.4644,49.3543,1.0,True,False,True,True
62.62252323232323,99.9914,71.71450808080807,11.455,73.0,95.201,3.4457,74.1601,1.0,False,False,False,False
10.103258585858583,99.9914,29.36701818181817,12.6085,80.0,70.5873,48.2032,79.2291,0.0,False,False,False,False
63.62252323232323,99.9914,29.2975202020202,23.8491,55.0,92.805,62.4949,69.4505,0.0,False,False,False,False
10.103258585858583,88.88438888888888,39.39680303030303,36.5158,41.0,0.0984,46.9414,81.486,0.0,True,True,False,False
10.103258585858583,99.9914,39.40673131313131,79.1366,63.0,69.7259,55.7071,68.2353,0.0,True,True,False,False
0.0034,99.9914,71.71450808080807,14.1078,40.0,61.8928,9.5212,32.9336,1.0,True,False,False,True
0.0034,99.9914,39.71450808080807,43.5842,72.0,77.9076,34.1813,50.5773,0.0,True,False,False,True
24.2430606060606,99.9914,71.71450808080807,86.4162,91.0,51.7155,67.7377,45.9344,1.0,True,False,True,True
24.2430606060606,99.9914,39.71450808080807,37.1412,52.0,92.5946,56.8162,19.2529,0.0,False,False,False,True
10.103258585858583,83.83574747474746,38.38687474747474,24.2018,65.0,46.8735,63.7628,57.8218,0.0,True,True,False,False
0.0034,99.9914,71.71450808080807,32.7562,0.0,32.1194,81.235,13.8129,1.0,False,False,False,False
0.0034,99.9914,26.26773535353535,11.4747,66.0,89.9634,19.3913,24.6554,0.0,False,False,False,False
24.2430606060606,99.9914,71.71450808080807,64.24,84.0,38.6778,63.6438,19.1078,1.0,True,False,True,True
0.0034,87.9914,39.42658787878787,26.2828,40.0,18.5252,31.1621,55.3603,0.0,True,True,False,True
29.292989898989894,99.9914,99.9925,1.6865,38.0,59.8839,59.3309,90.4843,1.0,True,False,False,False
62.62252323232323,99.9914,26.26773535353535,18.4657,58.0,97.5697,43.2352,48.3244,0.0,False,False,False,False
