cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
0.0,73.8541,83.108,11.5913,26.0,17.4864,24.0611,79.1389,1.0,True,False,False,True
34.146,45.553500000000014,64.458,53.0146,25.0,80.1623,22.736,59.8891,0.0,False,True,False,False
9.8527,60.0515,57.1335,84.2856,70.0,4.8745,45.0694,75.2252,1.0,True,False,True,True
0.0,85.71630000000003,70.78199999999998,35.8731,44.0,52.2195,27.4524,59.7234,0.0,True,False,False,False
22.5575,92.9025,93.378,39.5348,99.0,77.1167,9.5332,52.1115,1.0,True,True,True,True
0.0,100.0,76.40299999999996,11.2155,56.0,19.8561,92.9561,3.898,1.0,True,False,False,False
23.2054,94.2637,64.5277,71.723,85.0,59.8164,66.3091,45.7969,1.0,True,False,True,True
20.8451,83.97,81.27289999999999,64.0097,90.0,76.9651,93.9879,23.2153,0.0,True,True,False,False
34.16150000000001,100.0,98.51300000000002,30.6188,47.0,26.9452,51.2245,39.7058,0.0,True,False,False,False
0.0,84.9625,84.0865,50.7318,72.0,81.4201,82.3046,27.0352,0.0,True,True,False,False
28.7061,96.03,99.3416,77.7837,42.0,67.7128,36.8217,79.4941,0.0,False,True,False,False
22.5575,99.8843,73.9119,57.9443,6.0,57.121,59.1752,17.1823,0.0,False,True,False,False
29.9245,58.1588,68.7461,47.9544,62.0,5.5564,28.5773,54.1503,1.0,True,True,True,True
0.0,43.17399999999999,59.730500000000006,95.42,59.0,66.5852,94.483,61.0055,0.0,False,False,False,False
0.0,44.3864,80.027,97.064,29.0,30.0335,94.1654,44.1248,0.0,True,False,False,False
57.00000000000001,99.7536,97.7599,74.4967,66.0,66.1611,27.3613,58.0927,0.0,True,False,False,True
3.0401,39.6837,81.592,79.6821,77.0,14.4506,69.5123,26.0808,1.0,True,True,True,True
33.3632,77.8095,97.8049,64.9596,48.0,10.5784,27.667,91.9516,0.0,False,True,True,True
0.2296999999999994,43.8556,58.1605,52.3071,99.0,42.6652,17.5488,48.0001,0.0,False,False,False,False
0.0,83.23700000000001,94.6988,53.8035,82.0,66.2934,71.9251,68.8601,0.0,True,True,False,True
0.0,46.8814,95.5576,13.7778,43.0,21.4291,43.4365,54.8343,1.0,True,False,True,False
0.0,43.57520000000001,57.0884,46.7198,48.0,70.4052,64.1579,84.1919,0.0,False,True,False,False
7.061999999999999,100.0,100.0,44.7422,63.0,47.2515,5.9541,33.7666,0.0,False,True,False,False
0.0,46.53979999999999,68.963,39.7158,39.0,69.3049,79.9268,73.5546,0.0,False,True,False,False
0.0,43.92049999999999,73.944,41.9886,64.0,69.5211,56.9322,75.2686,0.0,True,True,False,True
53.9205,43.290500000000016,51.9461,29.6546,13.0,85.2779,33.1599,51.3262,0.0,False,False,False,False
8.9184,79.1663,81.054,65.35,47.0,0.3619,10.4851,29.3664,1.0,True,True,True,True
9.796499999999998,100.0,86.18900000000001,93.3305,10.0,55.1955,94.395,67.1528,0.0,True,True,False,False
45.6914,41.657500000000006,84.135,15.7073,6.0,29.2827,39.3528,53.6161,1.0,True,False,False,True
47.9188,67.7568,89.27000000000001,83.1785,9.0,37.0995,59.2827,72.0848,1.0,True,False,True,True
35.073,97.2626,96.1105,23.3526,89.0,42.994,30.9436,19.708,1.0,True,True,True,True
51.86750000000001,64.1545,76.86500000000001,15.617,47.0,10.5976,11.0008,7.464,1.0,True,False,False,False
29.849500000000003,100.0,99.0367,31.2802,48.0,12.1332,79.5619,83.7274,0.0,True,True,False,True
17.0885,100.0,98.513,36.2552,59.0,65.0281,83.1618,23.0111,0.0,True,True,False,False
0.0,80.9925,97.486,65.9461,13.0,71.1805,23.2852,63.4269,0.0,True,True,False,False
36.0,60.0515,80.027,96.0338,100.0,65.1248,45.4805,31.0411,0.0,True,True,False,False
13.4425,100.0,74.13599999999997,31.3973,27.0,13.8038,91.963,70.3126,1.0,True,False,True,True
12.139500000000004,56.94100000000001,76.8211,21.3526,32.0,52.3886,94.0482,63.1239,1.0,True,False,False,False
34.146,94.0243,53.997,76.3968,68.0,38.2376,41.2841,25.7679,1.0,True,False,True,True
8.884999999999998,84.9625,92.6359,77.4777,58.0,77.1913,9.7561,54.2593,0.0,False,True,False,True
6.584000000000003,99.03000000000002,69.60199999999999,91.5407,76.0,14.5398,55.6128,90.786,0.0,True,True,False,True
0.0,66.10879999999999,76.733,89.819,67.0,67.099,22.5465,44.0972,0.0,True,True,False,True
0.0,69.41,97.9484,94.5504,53.0,83.1074,85.0439,11.2344,0.0,False,False,False,False
53.093,74.467,53.997,85.4224,23.0,73.2655,85.1643,56.8518,1.0,True,False,True,True
10.0045,71.12429999999999,62.80099999999999,94.2169,68.0,70.4411,77.578,61.4858,1.0,True,True,True,True
20.7345,100.0,76.8387,83.9024,85.0,36.782,48.3257,26.0597,0.0,True,True,False,False
9.796499999999998,98.4786,90.297,81.1477,20.0,46.6085,42.2566,91.1959,1.0,True,False,True,True
33.759,96.8725,92.7285,43.4517,96.0,70.6501,25.5807,35.7054,1.0,True,False,True,True
25.485,81.9658,83.5805,82.7653,85.0,12.3841,88.658,60.3086,1.0,True,True,True,True
13.841099999999996,100.0,98.98590000000002,65.8623,93.0,78.7379,34.411,37.9369,0.0,True,True,False,False
17.0885,100.0,83.108,60.7961,39.0,63.6561,92.4991,39.8346,0.0,True,True,False,False
46.3853,64.1545,39.0045,60.8596,59.0,6.8017,11.6894,49.8461,1.0,True,False,True,True
32.323,62.103,81.054,79.3996,75.0,5.9776,39.6461,42.6477,1.0,True,False,True,True
0.0,95.88,70.73549999999997,64.0396,72.0,5.0156,94.9157,20.871,0.0,True,False,False,False
17.2959,51.3335,99.5681,35.4145,59.0,71.6636,6.2563,87.0502,1.0,False,False,True,True
0.0,55.30080000000007,76.93189999999998,80.9444,95.0,32.9537,99.9236,29.1632,0.0,True,True,False,False
26.807500000000005,92.5006,84.135,96.2158,34.0,86.5642,48.6476,24.4226,1.0,True,False,True,True
0.0,46.35099999999999,70.73549999999999,65.4484,72.0,27.9173,92.8396,85.104,0.0,True,True,False,True
0.0,72.06,66.86420000000001,36.168,74.0,16.6808,63.8903,63.5874,0.0,True,True,False,False
24.969,100.0,98.513,72.7914,14.0,32.5808,73.876,34.6642,0.0,True,True,False,False
2.9069999999999965,100.0,81.3691,92.4542,99.0,13.9024,5.131,42.7335,0.0,False,True,False,True
0.0,100.0,95.43200000000002,93.625,9.0,45.2327,72.3625,62.0122,0.0,True,False,False,True
0.0,62.236,98.2695,35.0542,67.0,48.0918,83.8878,81.5082,0.0,True,True,False,False
47.8922,39.3945,80.5515,22.1452,56.0,23.208,1.2399,36.1589,1.0,False,True,True,True
14.354,58.00000000000001,92.9212,85.6783,100.0,88.4006,5.1005,42.3336,0.0,False,True,False,True
21.7642,53.22880000000001,93.2663,89.0367,65.0,27.5778,13.5602,56.2711,0.0,True,True,False,False
0.0,73.70869999999996,98.25499999999998,70.0709,19.0,68.665,31.1381,3.1529,1.0,True,False,False,False
35.073,100.0,88.24300000000001,1.6865,38.0,59.8839,59.3309,90.4843,1.0,True,False,False,False
16.177,40.381,87.4942,37.3662,80.0,59.4537,28.5825,36.7818,1.0,True,True,True,True
0.0,80.9925,55.4859,50.5325,64.0,3.5332,41.2679,9.0236,0.0,True,True,False,False
9.796499999999998,74.9725,88.06799999999998,32.3329,14.0,17.6531,99.5987,29.9746,1.0,True,False,False,False
16.157,74.0144,50.5112,52.4777,58.0,22.4996,42.4184,32.982,1.0,True,True,True,True
0.0,80.1679,83.53399999999999,36.9882,51.0,45.8223,19.1807,28.4934,0.0,True,True,False,False
16.177,81.985,96.8258,94.6333,92.0,57.0469,20.4253,14.2398,1.0,True,True,True,True
50.4522,61.177,59.4005,69.7553,56.0,66.9622,81.5871,84.6572,1.0,True,False,True,True
26.343000000000004,53.474,57.0319,60.1943,29.0,47.2017,42.304,58.1393,0.0,False,False,False,False
34.146,83.97,64.8789,24.3957,76.0,28.1446,41.0181,22.8396,1.0,True,False,True,True
36.0163,46.3028,71.7371,63.6533,5.0,6.8824,44.4174,58.4016,0.0,False,False,False,True
0.0,89.92499999999998,45.0135,44.0281,90.0,20.3481,28.0226,4.2049,1.0,True,False,False,False
14.354,62.103,100.0,36.4588,86.0,4.9722,66.5374,6.0168,0.0,True,False,False,False
41.5155,87.31290000000003,95.42640000000004,30.9593,65.0,48.2006,16.5357,77.9743,1.0,True,True,True,True
16.177,62.103,87.3495,54.5482,87.0,64.375,21.2305,47.0038,1.0,True,False,True,True
37.9534,76.4635,60.53399999999999,92.8651,55.0,31.1416,0.4316,45.3254,0.0,False,False,False,True
14.354,74.41199999999999,94.0822,71.0079,86.0,71.6081,6.0699,47.5072,0.0,False,True,True,True
10.977,52.4899,95.1032,68.1834,39.0,40.3519,53.9471,59.5676,1.0,True,False,True,True
0.0,75.12450000000001,66.8025,60.4369,14.0,18.9944,63.2067,63.9403,0.0,False,True,False,False
0.0,57.172500000000014,66.80250000000001,46.4005,92.0,74.9367,38.3169,82.8647,0.0,False,False,False,False
0.0,45.30329999999999,58.1605,55.5017,27.0,39.1368,84.3576,57.7919,0.0,True,True,False,True
28.646,66.20600000000002,96.45900000000002,74.0462,7.0,6.9894,53.046,93.3958,1.0,False,False,True,True
17.615000000000002,47.31500000000002,86.46980000000005,21.0551,63.0,77.0055,79.7614,67.8982,1.0,True,True,True,True
14.028300000000002,66.206,74.73,33.3517,70.0,81.9832,33.9996,21.6989,0.0,True,True,False,False
24.8235,100.0,96.6929,62.4161,68.0,36.4237,44.8908,81.4175,1.0,True,False,True,True
32.116800000000005,76.46350000000002,83.108,78.8427,81.0,65.8909,5.0884,67.5392,0.0,False,True,True,True
28.0994,62.312,100.0,52.6749,88.0,17.3867,18.6083,13.6968,0.0,True,False,False,True
19.9535,66.4388,71.2278,29.8015,10.0,8.4268,36.8036,57.6347,0.0,True,False,False,False
