cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
7.4942,98.98185757575756,78.054,11.5913,26.0,17.4864,24.0611,79.1389,1.0,True,False,False,True
0.0277,44.466566666666665,98.97619090909092,53.0146,25.0,80.1623,22.736,59.8891,0.0,False,True,False,False
26.17511818181818,56.81963636363636,36.94615454545455,84.2856,70.0,4.8745,45.0694,75.2252,1.0,True,True,True,True
0.0277,99.9914,98.97619090909092,35.8731,44.0,52.2195,27.4524,59.7234,0.0,True,True,True,True
13.134168686868684,83.83872121212121,95.95366363636364,39.5348,99.0,77.1167,9.5332,52.1115,1.0,True,False,True,True
7.0277,98.9914,97.97619090909092,11.2155,56.0,19.8561,92.9561,3.898,1.0,True,False,False,False
29.125978787878783,82.2562,38.7177,71.723,85.0,59.8164,66.3091,45.7969,1.0,True,False,True,True
0.0277,99.9914,98.97619090909092,64.0097,90.0,76.9651,93.9879,23.2153,0.0,True,True,False,True
0.0277,83.83872121212121,98.97619090909092,30.6188,47.0,26.9452,51.2245,39.7058,0.0,True,False,False,True
0.0277,99.9914,98.97619090909092,50.7318,72.0,81.4201,82.3046,27.0352,0.0,True,True,False,True
18.17511818181818,97.97231515151516,97.96868181818182,77.7837,42.0,67.7128,36.8217,79.4941,0.0,False,True,False,True
0.0277,99.9914,97.97619090909092,57.9443,6.0,57.121,59.1752,17.1823,0.0,False,False,False,False
53.12597878787879,25.74329696969697,48.826009090909096,47.9544,62.0,5.5564,28.5773,54.1503,1.0,True,False,True,True
5.365,59.118,98.97619090909092,95.42,59.0,66.5852,94.483,61.0055,0.0,True,True,False,False
4.060459595959596,99.9914,92.95366363636364,97.064,29.0,30.0335,94.1654,44.1248,0.0,True,True,False,False
12.125978787878786,83.83872121212121,92.93113636363636,74.4967,66.0,66.1611,27.3613,58.0927,0.0,False,True,False,False
18.125978787878783,68.80055151515151,87.89359090909092,79.6821,77.0,14.4506,69.5123,26.0808,1.0,True,True,True,True
18.17511818181818,74.76238181818182,92.93113636363636,64.9596,48.0,10.5784,27.667,91.9516,0.0,True,False,True,True
0.0277,68.69558484848486,98.97619090909092,52.3071,99.0,42.6652,17.5488,48.0001,0.0,False,False,False,False
0.0277,83.83872121212121,92.93113636363636,53.8035,82.0,66.2934,71.9251,68.8601,0.0,False,True,False,True
0.0277,98.9914,44.5707,13.7778,43.0,21.4291,43.4365,54.8343,1.0,True,False,True,True
0.0277,83.83872121212121,97.96868181818182,46.7198,48.0,70.4052,64.1579,84.1919,0.0,True,True,True,False
7.085029292929293,98.98185757575756,92.93113636363636,44.7422,63.0,47.2515,5.9541,33.7666,0.0,False,True,False,False
0.0277,46.51427878787879,98.97619090909092,39.7158,39.0,69.3049,79.9268,73.5546,0.0,False,True,False,True
0.0277,96.97231515151516,98.97619090909092,41.9886,64.0,69.5211,56.9322,75.2686,0.0,True,True,False,False
0.0277,99.9914,98.97619090909092,29.6546,13.0,85.2779,33.1599,51.3262,0.0,False,False,False,False
25.9184,30.82917878787879,36.054,65.35,47.0,0.3619,10.4851,29.3664,1.0,True,False,True,True
12.125978787878786,99.9914,98.97619090909092,93.3305,10.0,55.1955,94.395,67.1528,0.0,False,True,False,False
0.0277,87.8768909090909,94.96868181818182,15.7073,6.0,29.2827,39.3528,53.6161,1.0,True,False,True,True
14.134168686868684,55.58107575757576,91.93113636363636,83.1785,9.0,37.0995,59.2827,72.0848,1.0,True,False,True,True
27.10140909090909,74.8768909090909,90.92362727272727,23.3526,89.0,42.994,30.9436,19.708,1.0,True,False,False,True
11.117788888888889,95.95323030303032,66.7359,15.617,47.0,10.5976,11.0008,7.464,1.0,True,False,False,True
0.0277,73.74329696969697,98.97619090909092,31.2802,48.0,12.1332,79.5619,83.7274,0.0,False,True,False,False
0.0277,99.9914,98.97619090909092,36.2552,59.0,65.0281,83.1618,23.0111,0.0,True,True,False,True
7.076839393939394,83.83872121212121,97.96868181818182,65.9461,13.0,71.1805,23.2852,63.4269,0.0,False,True,False,False
9.076839393939396,99.9914,97.97619090909092,96.0338,100.0,65.1248,45.4805,31.0411,0.0,True,True,False,False
14.117788888888889,98.98185757575756,88.91611818181819,31.3973,27.0,13.8038,91.963,70.3126,1.0,True,False,True,True
15.142358585858585,98.98185757575756,91.92362727272727,21.3526,32.0,52.3886,94.0482,63.1239,1.0,True,True,False,True
35.28977676767677,57.93414545454546,53.93113636363637,76.3968,68.0,38.2376,41.2841,25.7679,1.0,True,True,True,True
0.0277,99.9914,98.97619090909092,77.4777,58.0,77.1913,9.7561,54.2593,0.0,False,False,False,False
18.17511818181818,74.7528393939394,98.97619090909092,91.5407,76.0,14.5398,55.6128,90.786,0.0,False,True,False,True
13.125978787878786,76.77192424242425,97.96868181818182,89.819,67.0,67.099,22.5465,44.0972,0.0,True,True,False,False
0.0277,99.9914,98.97619090909092,94.5504,53.0,83.1074,85.0439,11.2344,0.0,False,False,False,False
53.093,58.467,48.997,85.4224,23.0,73.2655,85.1643,56.8518,1.0,True,False,True,True
53.43719494949495,65.8293,48.267,94.2169,68.0,70.4411,77.578,61.4858,1.0,True,False,True,True
0.0277,99.9914,97.96868181818182,83.9024,85.0,36.782,48.3257,26.0597,0.0,True,True,True,True
16.177,98.4786,95.96117272727274,81.1477,20.0,46.6085,42.2566,91.1959,1.0,True,True,True,True
29.134168686868684,47.838721212121214,91.96868181818182,43.4517,96.0,70.6501,25.5807,35.7054,1.0,True,True,True,True
27.16692828282828,65.4348,70.379,82.7653,85.0,12.3841,88.658,60.3086,1.0,True,False,True,True
1.035889898989899,99.9914,98.97619090909092,65.8623,93.0,78.7379,34.411,37.9369,0.0,False,False,False,False
18.177,80.985,98.97619090909092,60.7961,39.0,63.6561,92.4991,39.8346,0.0,True,True,False,False
53.14235858585859,25.57153333333333,71.93113636363637,60.8596,59.0,6.8017,11.6894,49.8461,1.0,True,False,True,True
52.323,30.103,40.93113636363637,79.3996,75.0,5.9776,39.6461,42.6477,1.0,True,False,True,True
9.093219191919191,99.9914,97.96868181818182,64.0396,72.0,5.0156,94.9157,20.871,0.0,True,False,False,False
0.0277,98.9914,95.96117272727274,35.4145,59.0,71.6636,6.2563,87.0502,1.0,True,False,True,True
2.0440797979797978,84.0833,57.6624,80.9444,95.0,32.9537,99.9236,29.1632,0.0,True,True,False,False
32.323,73.4706,91.93113636363636,96.2158,34.0,86.5642,48.6476,24.4226,1.0,True,False,True,True
0.0277,99.9914,98.97619090909092,65.4484,72.0,27.9173,92.8396,85.104,0.0,True,False,False,False
33.9275,80.985,98.97619090909092,36.168,74.0,16.6808,63.8903,63.5874,0.0,True,False,False,True
7.060459595959596,99.9914,94.95366363636364,72.7914,14.0,32.5808,73.876,34.6642,0.0,False,True,False,False
1.035889898989899,99.9914,97.96868181818182,92.4542,99.0,13.9024,5.131,42.7335,0.0,False,False,False,True
