cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
4.4942,73.8541,45.3971,11.5913,26.0,17.4864,24.0611,79.1389,1.0,True,False,False,True
50.4552,100.0,96.07800000000006,53.0146,25.0,80.1623,22.736,59.8891,0.0,True,True,False,False
11.6912,48.5824,41.4127,84.2856,70.0,4.8745,45.0694,75.2252,1.0,True,False,True,True
37.98760000000001,100.0,99.6378,35.8731,44.0,52.2195,27.4524,59.7234,0.0,False,False,False,False
41.7297,43.3672,43.8233,39.5348,99.0,77.1167,9.5332,52.1115,1.0,True,False,False,True
32.2803,20.3451,19.7817,11.2155,56.0,19.8561,92.9561,3.898,1.0,True,False,False,False
68.2054,95.2562,51.7177,71.723,85.0,59.8164,66.3091,45.7969,1.0,True,False,True,True
35.5531,99.65999999999993,54.9985,64.0097,90.0,76.9651,93.9879,23.2153,0.0,True,True,False,False
23.6721,91.40209999999992,98.123,30.6188,47.0,26.9452,51.2245,39.7058,0.0,True,True,False,True
65.8574,97.8650000000001,94.88899999999998,50.7318,72.0,81.4201,82.3046,27.0352,0.0,False,True,False,False
27.3831,98.3572,98.5276,77.7837,42.0,67.7128,36.8217,79.4941,0.0,True,True,True,True
34.1703,100.0,97.6774,57.9443,6.0,57.121,59.1752,17.1823,0.0,True,False,False,False
29.9245,58.1588,68.7461,47.9544,62.0,5.5564,28.5773,54.1503,1.0,True,True,True,True
18.365,91.91000000000004,99.4163,95.42,59.0,66.5852,94.483,61.0055,0.0,True,False,False,False
23.6299,64.4044,96.2412,97.064,29.0,30.0335,94.1654,44.1248,0.0,True,False,False,False
25.4969,96.8051,96.7584,74.4967,66.0,66.1611,27.3613,58.0927,0.0,True,True,True,True
0.1751,39.6837,81.592,79.6821,77.0,14.4506,69.5123,26.0808,1.0,True,False,True,True
18.3632,100.0,98.9384,64.9596,48.0,10.5784,27.667,91.9516,0.0,False,True,False,True
23.019200000000005,98.8575000000001,97.04949999999998,52.3071,99.0,42.6652,17.5488,48.0001,0.0,True,True,False,False
19.5981,100.0,96.8593,53.8035,82.0,66.2934,71.9251,68.8601,0.0,True,True,True,False
54.7777,40.3099,87.3416,13.7778,43.0,21.4291,43.4365,54.8343,1.0,True,False,False,True
21.8647,92.87550000000006,95.50490000000003,46.7198,48.0,70.4052,64.1579,84.1919,0.0,True,True,False,True
27.0515,87.94000000000003,97.1635,44.7422,63.0,47.2515,5.9541,33.7666,0.0,True,True,False,False
24.8151,99.41830000000007,96.07800000000006,39.7158,39.0,69.3049,79.9268,73.5546,0.0,True,False,False,False
33.2197,99.65999999999993,97.04949999999998,41.9886,64.0,69.5211,56.9322,75.2686,0.0,False,True,False,True
19.88350000000001,44.952,50.75710000000005,29.6546,13.0,85.2779,33.1599,51.3262,0.0,False,False,False,False
8.9184,79.1663,48.5591,65.35,47.0,0.3619,10.4851,29.3664,1.0,True,True,True,True
25.0532,98.8575000000001,98.51300000000002,93.3305,10.0,55.1955,94.395,67.1528,0.0,False,True,False,False
60.1469,27.4693,76.7602,15.7073,6.0,29.2827,39.3528,53.6161,1.0,False,False,False,False
52.9188,37.7568,35.2907,83.1785,9.0,37.0995,59.2827,72.0848,1.0,True,False,True,True
