,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,iterations_anchors
0,"[ 2.46047033 99.96150846 12.76075179 11.5913     26.         17.4864
 24.0611     79.1389      1.        ]","[49.40443535 98.9914     33.49560909 11.5913     26.         17.4864
 24.0611     79.1389      1.        ]",[ 5.4057 65.6481 30.3971 11.5913 26.     17.4864 24.0611 79.1389  1.    ],[0.28],[0.25],[0.13],0.2991273669477571,0.3897247542087542,0.36453499999999994,0.09059738726099709,-0.025189754208754245,0.06540763305224284,0.3028722787401128,-0.06463472986183853,0.2186614809592676,4.45721435546875,0.9060499668121338,15.596561431884766,4.919391334620442,0.285781861273387,0.05809293098155945,1002
1,"[68.12164348 13.07505956 16.18621315 53.0146     25.         80.1623
 22.736      59.8891      0.        ]","[74.54366364 36.52382121 27.46557273 53.0146     25.         80.1623
 22.736      59.8891      0.        ]","[ 51.3667 100.      19.6873  53.0146  25.      80.1623  22.736   59.8891
   0.    ]",[0.8],[0.8],[[0.92]],0.7962012358870789,0.7018475656565657,0.43893133333333334,-0.09435367023051322,-0.26291623232323236,-0.3572699025537456,-0.11850480252695175,-0.3746058904931571,-0.4487180959417844,3.9025301933288574,6.25767707824707,0.14426136016845703,0.6236387951201299,27.051805062504545,43.37736086045389,6
2,"[42.09349509 25.65441935 57.44899    84.2856     70.          4.8745
 45.0694     75.2252      1.        ]","[29.6912     25.5824     71.95366364 84.2856     70.          4.8745
 45.0694     75.2252      1.        ]",[26.6912 59.5349 44.5747 84.2856 70.      4.8745 45.0694 75.2252  1.    ],[0.8],[0.81],[[0.8]],0.5299669524654671,0.44051712121212117,0.4086053333333334,-0.08944983125334593,-0.03191178787878779,-0.12136161913213372,-0.1687837908330228,-0.07244165173644042,-0.22899846597518117,3.6193790435791016,9.887339353561401,0.4392712116241455,0.3660619823143228,8.23950886787445,22.508507482209705,24
3,"[66.37855397 10.84215905 17.23992377 35.8731     44.         52.2195
 27.4524     59.7234      0.        ]","[73.56823333 43.87689091 20.39048182 35.8731     44.         52.2195
 27.4524     59.7234      0.        ]",[32.4721 63.1498 19.6378 35.8731 44.     52.2195 27.4524 59.7234  0.    ],[0.8],[0.8],[[0.98]],0.7943215704953207,0.6976695353535354,0.4989483333333333,-0.09665203514178533,-0.19872120202020205,-0.2953732371619874,-0.12167872399778258,-0.2848357165538302,-0.3718559940123487,3.806468963623047,10.221840143203735,0.06621003150939941,0.3723858826097843,57.49081939468141,154.38506688752454,0
4,"[11.97639561 26.86112581 95.788662   39.5348     99.         77.1167
  9.5332     52.1115      1.        ]","[13.10140909 45.48565152 95.96117273 39.5348     99.         77.1167
  9.5332     52.1115      1.        ]",[47.4597 59.2822 47.8293 39.5348 99.     77.1167  9.5332 52.1115  1.    ],[0.73],[0.71],[[0.54]],0.2977553593294465,0.23884861616161612,0.4678273333333334,-0.0589067431678304,0.22897871717171725,0.17007197400388685,-0.1978360466810406,0.95867717741676,0.571180227912249,5.077803134918213,0.651400089263916,1.1270942687988281,7.795214060618482,4.505216001435046,0.577946412555295,96
5,"[ 2.69723873 99.99664364 12.25187982 11.2155     56.         19.8561
 92.9561      3.898       1.        ]","[ 3.0522697  98.98185758 12.33791818 11.2155     56.         19.8561
 92.9561      3.898       1.        ]",[18.      8.3226 66.8025 11.2155 56.     19.8561 92.9561  3.898   1.    ],[0.2],[0.2],[[0.06]],0.30149571757788707,0.30577497979797996,0.4762496666666668,0.004279262220092894,0.17047468686868683,0.17475394908877973,0.01419344279405033,0.5575167954595774,0.5796233209967055,4.708174467086792,0.5051546096801758,1.168297290802002,9.320264285161405,4.029945549094587,0.432385330050198,84
6,"[49.99819152 68.40290914 31.14232352 71.723      85.         59.8164
 66.3091     45.7969      1.        ]","[53.42900505 59.92460303 94.96868182 71.723      85.         59.8164
 66.3091     45.7969      1.        ]",[53.2054 72.6897 46.7177 71.723  85.     59.8164 66.3091 45.7969  1.    ],[0.8],[0.8],[[0.8]],0.5015098628623458,0.32845240067340054,0.44599333333333335,-0.17305746218894524,0.11754093265993282,-0.055516529529012426,-0.345072898868284,0.3578629123092044,-0.1106987791070633,3.5221035480499268,6.904765844345093,0.6902003288269043,0.5100974641934426,5.103016328659613,10.004002542393373,42
7,"[66.80572329  9.27980672 18.92547141 64.0097     90.         76.9651
 93.9879     23.2153      0.        ]","[70.44538485 11.51427879 29.66831818 64.0097     90.         76.9651
 93.9879     23.2153      0.        ]",[22.6836 22.9153 76.9519 64.0097 90.     76.9651 93.9879 23.2153  0.    ],[0.8],[0.8],[[0.93]],0.7953348172168113,0.764209292929293,0.409388,-0.031125524287518358,-0.354821292929293,-0.38594681721681134,-0.03913512097513697,-0.4642985844482817,-0.4852633241524503,3.885073184967041,21.385634422302246,0.0684504508972168,0.1816674272199963,56.75745205536708,312.4250336117477,0
8,"[67.78842819 10.50719687 17.91921712 30.6188     47.         26.9452
 51.2245     39.7058      0.        ]","[67.51090404  9.21846364 18.42802727 30.6188     47.         26.9452
 51.2245     39.7058      0.        ]",[53.6721 40.4741 63.555  30.6188 47.     26.9452 51.2245 39.7058  0.    ],[0.8],[0.8],[[0.98]],0.7978733806930893,0.7995480437710438,0.4988100000000001,0.0016746630779544969,-0.30073804377104374,-0.29906338069308924,0.0020989083211420912,-0.37613505043752216,-0.37482561510361656,4.0066564083099365,4.952097654342651,0.0549163818359375,0.8090826732377485,72.95922044317867,90.175235308419,0
9,"[68.16202387  9.56641462 20.17775901 50.7318     72.         81.4201
 82.3046     27.0352      0.        ]","[59.17511818  9.3234303  20.69835455 50.7318     72.         81.4201
 82.3046     27.0352      0.        ]",[16.177  79.7862 60.321  50.7318 72.     81.4201 82.3046 27.0352  0.    ],[0.8],[0.82],[[0.96]],0.7947261674931074,0.7638444444444444,0.25356600000000007,-0.03088172304866299,-0.5102784444444444,-0.5411601674931074,-0.03885831914416084,-0.6680397404939923,-0.6809391582010552,3.8690757751464844,25.466854572296143,0.08812284469604492,0.15192593824898262,43.905479770787906,288.99265179349266,0
