,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom
0,"[ 0.47591347 99.99844734 74.36569342 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[ 1.01338586 99.9914     74.74429293 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]",[ 7.3385 66.497  77.409  56.0067 39.     77.1984 84.8851 87.3155  0.    ],[0.3415245  0.72166671 0.07416728 0.64380831],[0.3415245  0.73882625 0.07416728 0.53532541],[0.3415245  0.66008494 0.02957932 0.11249116],0.08703924233033622,0.08759230976430976,0.21144166666666664,0.000553067433973542,0.12384935690235688,0.12440242433633042,0.006354230794823666,1.4139295702511587,1.429268235862984,4.31384801864624,0.14753985404968262,0.957183837890625,29.238527084306277,4.506812430256655,0.15413951657898933
1,"[ 0.48384736 90.16910984 95.48569283 94.602      27.         61.2247
 58.3342     36.4653      0.        ]","[ 1.01338586 98.9914     94.94285859 94.602      27.         61.2247
 58.3342     36.4653      0.        ]",[25.2645 75.2505 50.299  94.602  27.     61.2247 58.3342 36.4653  0.    ],[0.50939975 0.79434671 0.31546652 0.73960686],[0.47566745 0.78944199 0.24708486 0.65722871],[0.49181609 0.73915293 0.05649417 0.37542596],0.04943014895375997,0.023597090909091012,0.33238333333333336,-0.025833058044668955,0.30878624242424235,0.2829531843795734,-0.5226174428249205,13.085775853212457,5.72430369660155,4.056516885757446,0.2133183479309082,0.5370683670043945,19.01625868146754,7.553073565630899,0.3971903039472119
2,"[ 0.40493669 95.12763104 98.51909452 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[ 1.01338586 75.75792121 67.67479495 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]",[ 0.     82.0461 72.768  55.2701 48.      4.4584 79.6079 35.6638  0.    ],[0.76955275 0.77183484 0.6731981  0.57815498],[0.76955275 0.75274353 0.0705427  0.75087559],[0.76955275 0.65987983 0.0705427  0.70568895],0.02252737043192532,0.19193556565656567,0.1506196666666667,0.16940819522464035,-0.04131589898989896,0.1280922962347414,7.52010518655824,-0.21525921393758968,5.686074041434133,4.123458385467529,0.1634809970855713,0.9854936599731445,25.22286050964796,4.184155162986941,0.16588741635336982
3,"[12.30576758 99.99608143 99.97337534 62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[13.13321616 99.9914     99.9925     62.7395     41.         27.4842
 66.4937     84.6912      1.        ]",[47.4905 81.503  82.227  62.7395 41.     27.4842 66.4937 84.6912  1.    ],[0.94220068 0.59395349 0.9947114  0.99682438],[0.79436642 0.59395349 0.9947114  0.99682438],[0.93383525 0.25712742 0.98844737 0.99815542],0.04112103602581407,0.04383105387205399,0.27920166666666657,0.0027100178462399205,0.23537061279461258,0.2380806306408525,0.06590344281546516,5.369951027909947,5.789752731215123,3.4942052364349365,0.1644001007080078,1.231560468673706,21.254276739410393,2.8372177617863303,0.1334892641406831
4,"[ 0.58678291 99.99975499 95.28315816 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]","[14.14320202 99.9914     76.78400606 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]",[22.7355 75.2505 80.196  90.4678 50.     24.2796 66.3872 53.8746  1.    ],[0.9551703  0.52340644 0.99802727 0.99913388],[0.9551703  0.51231868 0.99799722 0.99835521],[0.9551703  0.39358806 0.99583203 0.99708253],0.017679565856524304,0.12455931986531976,0.2242966666666666,0.10687975400879546,0.09973734680134683,0.20661710081014228,6.045383403425234,0.8007216714830188,11.686774578454607,5.455212831497192,0.7358393669128418,0.484783411026001,7.413591983239662,11.252886768447212,1.517872415137934
5,"[2.42799342e-02 9.99994560e+01 9.99748067e+01 8.14813000e+01
 5.90000000e+01 1.70169000e+01 5.09420000e+01 8.77398000e+01
 1.00000000e+00]","[3.40000e-03 9.99914e+01 9.99925e+01 8.14813e+01 5.90000e+01 1.70169e+01
 5.09420e+01 8.77398e+01 1.00000e+00]",[22.1157 82.7535 85.8405 81.4813 59.     17.0169 50.942  87.7398  1.    ],[0.93926565 0.62890456 0.99489719 0.9974336 ],[0.78563238 0.62890456 0.99489719 0.9974336 ],[0.93926565 0.30158182 0.98990697 0.99868673],0.0001667242515408507,6.499999999998174e-05,0.17840566666666668,-0.00010172425154086895,0.1783406666666667,0.17823894241512583,-0.6101347020648914,2743.7025641033356,1069.0642828974032,3.968599557876587,0.1439805030822754,1.3586609363555908,27.563451112605108,2.920963907685294,0.10597235795155929
6,"[ 0.87887709 50.00999909 95.30454154 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]","[ 1.01338586 76.501      75.409      83.6282     82.         60.1713
 91.3736     87.5405      0.        ]",[15.5344 90.2565 90.6585 83.6282 82.     60.1713 91.3736 87.5405  0.    ],[0.46514959 0.78442457 0.08790865 0.52340895],[0.50145506 0.706002   0.02776158 0.27780002],[0.50145506 0.67822332 0.0720616  0.16254978],0.18521445488127664,0.16367795286195286,0.115398,-0.021536502019323778,-0.04827995286195286,-0.06981645488127664,-0.11627873231130248,-0.2949691880779601,-0.3769492771286632,4.266664981842041,0.24969840049743652,1.854130506515503,17.08727398069914,2.3011675644453167,0.1346714266444484
7,"[ 0.87058843 94.26247659 51.74557829 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]","[ 1.01338586 90.90384545 89.89321717 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]",[ 7.3385 96.0371 98.6946 68.4481 92.     90.9833 44.2826 63.6043  0.    ],[0.07757835 0.75315554 0.58282739 0.83690518],[0.07077554 0.6681698  0.33157498 0.80597091],[0.07077554 0.6681698  0.32010758 0.51431727],0.18287511184577498,0.06738774410774417,0.042022666666666764,-0.11548736773803081,-0.02536507744107741,-0.14085244517910822,-0.6315094852022586,-0.37640490532702764,-0.7702111225386101,4.98188042640686,0.1407606601715088,0.8572511672973633,35.39256224243851,5.811459484054276,0.16420002158210154
8,"[ 0.13472177 95.06069723 92.73655163 71.2328      6.          4.1116
 74.4987     25.5534      1.        ]","[3.40000000e-03 9.99914000e+01 4.34365162e+01 7.12328000e+01
 6.00000000e+00 4.11160000e+00 7.44987000e+01 2.55534000e+01
 1.00000000e+00]",[47.471  75.2505 52.897  71.2328  6.      4.1116 74.4987 25.5534  1.    ],[0.71298923 0.80068723 0.12985493 0.88824379],[0.7267314  0.77631363 0.0810773  0.82455087],[0.70693651 0.12072825 0.10624006 0.81051558],0.041124909705312684,0.18858494612794607,0.3977450000000001,0.1474600364226334,0.20916005387205405,0.35662009029468744,3.58566225383308,1.1091025989431242,8.671632177434734,4.432234764099121,0.1210329532623291,0.9638993740081787,36.620066226861475,4.598233885834554,0.1255659631347599
9,"[1.89686522e-02 7.12104489e+01 8.31820725e+01 2.92613000e+01
 2.10000000e+01 6.19747000e+01 2.58511000e+01 1.67073000e+01
 0.00000000e+00]","[3.40000000e-03 5.96411818e+01 7.17145081e+01 2.92613000e+01
 2.10000000e+01 6.19747000e+01 2.58511000e+01 1.67073000e+01
 0.00000000e+00]",[ 7.007  75.2505 91.867  29.2613 21.     61.9747 25.8511 16.7073  0.    ],[0.4500167  0.48194126 0.00701977 0.6874572 ],[0.4500167  0.48194126 0.00585167 0.5407508 ],[0.4500167  0.30846541 0.01007788 0.08958861],0.15208815753903415,0.22882570033670047,0.132965,0.07673754279766631,-0.09586070033670047,-0.019123157539034152,0.5045596188379838,-0.41892453599245355,-0.12573732135670132,3.666961669921875,1.2129335403442383,1.2994890213012695,3.0232173057735445,2.821848903540477,0.9333926800933207
10,"[ 3.81092034 88.68701383 95.12922865 99.3079     61.         37.236
  5.0547     87.4078      0.        ]","[3.40000000e-03 6.66703667e+01 9.49428586e+01 9.93079000e+01
 6.10000000e+01 3.72360000e+01 5.05470000e+00 8.74078000e+01
 0.00000000e+00]",[ 0.     50.771  96.681  99.3079 61.     37.236   5.0547 87.4078  0.    ],[0.14857803 0.76702862 0.82732606 0.82109517],[0.14857803 0.75852655 0.80830371 0.89274663],[0.13438155 0.75852655 0.81363773 0.8510524 ],0.066648926207872,0.1279672491582492,0.17515999999999987,0.0613183229503772,0.047192750841750675,0.10851107379212788,0.9200196678207669,0.36878772617351735,1.6280993553248198,5.338179588317871,0.14161324501037598,0.7068512439727783,37.69548242416692,7.552055165546898,0.20034377277806653
11,"[ 0.73100539 99.99997085 28.61034862  1.3674     48.         79.6486
 98.1056     42.1946      1.        ]",[19.0028 99.9914 77.409   1.3674 48.     79.6486 98.1056 42.1946  1.    ],[19.0028 77.7515 78.6135  1.3674 48.     79.6486 98.1056 42.1946  1.    ],[8.49733812e-01 9.04955584e-02 3.92002366e-05 4.87000470e-05],[8.75510612e-01 6.77696091e-02 1.39940466e-05 1.37954368e-04],[8.75510612e-01 2.36612786e-02 1.16000829e-05 1.85638419e-04],0.24040228637740813,0.1386746666666666,0.20879266666666674,-0.10172761971074151,0.07011800000000012,-0.03160961971074139,-0.423155791251665,0.5056294829144483,-0.13148635226005034,5.110508918762207,0.1693572998046875,0.7052876949310303,30.175899855842868,7.2459918916662245,0.24012513052740678
12,"[ 0.395672   99.99983204 88.49941251 40.8529     84.         11.2441
 69.9599     65.2669      1.        ]","[13.13321616 99.9914     76.76414949 40.8529     84.         11.2441
 69.9599     65.2669      1.        ]",[47.4905 81.5191 82.227  40.8529 84.     11.2441 69.9599 65.2669  1.    ],[0.9551703  0.50594588 0.99595886 0.99801195],[0.9551703  0.46362759 0.99427879 0.99664539],[0.94974276 0.31187385 0.955603   0.99842167],0.03965475817074926,0.1212588888888888,0.27914799999999995,0.08160413071813954,0.15788911111111115,0.2394932418292507,2.057864793091428,1.3020827797274896,6.03945788291074,5.0147621631622314,0.4315624237060547,1.1217589378356934,11.62001575600076,4.470445470965132,0.384719398392943
13,"[28.20973369 97.49625233 76.77589311  9.4949     93.         70.9955
 39.876      75.0172      1.        ]","[28.26303232 99.9914     71.71450808  9.4949     93.         70.9955
 39.876      75.0172      1.        ]",[27.1206 77.7515 77.409   9.4949 93.     70.9955 39.876  75.0172  1.    ],[0.93081626 0.0223304  0.14022608 0.78848058],[0.93081626 0.02791849 0.13717011 0.68531543],[0.9299207  0.02241183 0.07245263 0.75713998],0.17979196080372595,0.18852374747474754,0.23986700000000005,0.00873178667102159,0.051343252525252514,0.060075039196274105,0.04856605730305065,0.2723436872701136,0.3341364036952487,4.582993030548096,0.8692412376403809,1.042027473449707,5.272406360964842,4.398149902301296,0.8341826485271978
14,"[7.02717165e+01 8.86722506e+01 2.61278172e-02 8.98297000e+01
 8.00000000e+00 7.13902000e+01 4.65133000e+01 6.53516000e+01
 0.00000000e+00]","[3.40000000e-03 9.99914000e+01 8.88832889e+01 8.98297000e+01
 8.00000000e+00 7.13902000e+01 4.65133000e+01 6.53516000e+01
 0.00000000e+00]",[ 0.     66.497  64.2322 89.8297  8.     71.3902 46.5133 65.3516  0.    ],[0.00639762 0.02135777 0.75224411 0.92846626],[0.16920465 0.68359497 0.02982106 0.27838537],[0.17403651 0.64000871 0.01581721 0.28784874],0.6052444602937146,0.03709570370370363,0.2309026666666666,-0.568148756590011,0.19380696296296296,-0.374341793627048,-0.9387095526893353,5.224512372402125,-0.6184968524047068,4.850396156311035,0.13699007034301758,1.2337937355041504,35.406917772695785,3.9312860948585344,0.11103158202293915
15,"[25.36879702 53.95923905 99.98247383 12.5479     61.         53.872
 16.304       8.2088      0.        ]","[3.40000000e-03 9.99914000e+01 7.67641495e+01 1.25479000e+01
 6.10000000e+01 5.38720000e+01 1.63040000e+01 8.20880000e+00
 0.00000000e+00]",[27.239  75.2505 58.7338 12.5479 61.     53.872  16.304   8.2088  0.    ],[6.87698873e-01 1.12926000e-02 2.91521224e-04 4.81324159e-02],[0.59635587 0.01794309 0.03280464 0.00533287],[0.59635587 0.010077   0.00203096 0.02644058],0.23809028044106917,0.07749283501683502,0.31084899999999993,-0.16059744542423415,0.23335616498316492,0.07275871955893076,-0.6745233158057637,3.0113256913683593,0.30559298524972595,4.220296859741211,0.09353923797607422,1.0165092945098877,45.11793073213503,4.151754324859407,0.09202005183944174
16,"[69.67969648  0.57409325  0.28491253 17.0397     25.         50.5089
 74.2436     36.9883      0.        ]","[100.       0.       0.      17.0397  25.      50.5089  74.2436  36.9883
   0.    ]",[27.4145 79.8878 77.409  17.0397 25.     50.5089 74.2436 36.9883  0.    ],[0.00204191 0.00135413 0.84786075 0.97212774],[7.76565135e-04 8.32277974e-04 9.87997770e-01 9.65552032e-01],[0.60812339 0.09271005 0.02180943 0.05733345],0.8960689689870486,1.0,0.23372566666666672,0.10393103101295142,-0.7662743333333333,-0.6623433023203819,0.11598552634898085,-0.7662743333333333,-0.7391655388637335,4.177704811096191,0.11664843559265137,0.6351628303527832,35.81449498118583,6.577376086027899,0.18365123086289903
17,"[ 0.88141665 99.9091812  76.69110582 19.8114     62.         10.1994
 39.2058     56.9172      1.        ]","[ 6.06331515 99.9914     76.76414949 19.8114     62.         10.1994
 39.2058     56.9172      1.        ]",[24.3159 84.004  83.4315 19.8114 62.     10.1994 39.2058 56.9172  1.    ],[0.95372331 0.24769    0.96675229 0.96121609],[0.95372331 0.17849683 0.96864051 0.98374289],[0.95372331 0.13430774 0.81912351 0.98211539],0.08093709876153032,0.09769255218855222,0.1896013333333334,0.016755453427021894,0.09190878114478118,0.10866423457180308,0.20701821146801244,0.9407961926042425,1.342576349221101,5.489968299865723,0.14762473106384277,1.493408203125,37.18867604569247,3.676133751226091,0.09885089070418505
18,"[ 0.87746281 95.13486276 98.67496754 86.7432     91.         11.655
 75.7676     15.1904      0.        ]","[19.19313131 99.9914     94.94285859 86.7432     91.         11.655
 75.7676     15.1904      0.        ]",[34.4309 77.7515 73.701  86.7432 91.     11.655  75.7676 15.1904  0.    ],[0.76955275 0.76265389 0.75981075 0.04328307],[0.76955275 0.72907083 0.46492961 0.0967932 ],[0.75825943 0.58552846 0.03237171 0.03995001],0.02355877504170867,0.0808629090909091,0.27659466666666654,0.05730413404920043,0.19573175757575745,0.2530358916249579,2.4323902218068922,2.420538164855144,10.740621750366088,4.171630382537842,0.16286826133728027,0.8601467609405518,25.613525608276156,4.84990535565844,0.1893493863293601
19,"[ 0.87069443 99.94725241 77.12399616 40.9705     49.          9.658
 66.4644     49.3543      1.        ]","[ 1.01338586 99.9914     95.95278687 40.9705     49.          9.658
 66.4644     49.3543      1.        ]","[ 48.7355 100.      58.093   40.9705  49.       9.658   66.4644  49.3543
   1.    ]",[0.9551703  0.56222786 0.99626571 0.9948172 ],[0.9551703  0.45874754 0.99548739 0.99459684],[0.94857954 0.4042543  0.99397004 0.97174656],0.0793314862051534,0.016897329966329977,0.30214166666666675,-0.062434156238823424,0.2852443367003368,0.22281018046151335,-0.7870034865774099,16.881030154984334,2.808597079415859,4.422449827194214,0.2217867374420166,0.857302188873291,19.94010046858825,5.15856588795885,0.2587031041335608
20,"[ 6.03239062 99.91916559 83.59084534 11.455      73.         95.201
  3.4457     74.1601      1.        ]","[ 6.06331515 99.9914     83.83364747 11.455      73.         95.201
  3.4457     74.1601      1.        ]",[15.509  87.7555 89.2406 11.455  73.     95.201   3.4457 74.1601  1.    ],[0.004595   0.0136237  0.00398356 0.7686851 ],[0.004595   0.0136237  0.00398356 0.64607102],[0.004595   0.00804988 0.00168903 0.44107473],0.07507459895156277,0.07412755892255896,0.1283763333333332,-0.0009470400290038095,0.05424877441077425,0.05330173438177044,-0.012614653188022068,0.7318300399915763,0.7099836046564841,4.750260829925537,0.12808728218078613,0.6613311767578125,37.08612400113916,7.1828775005191385,0.19368099778500728
21,"[ 6.05494078 50.37271665 74.27633751 12.6085     80.         70.5873
 48.2032     79.2291      0.        ]","[15.15318788 93.9330303  74.74429293 12.6085     80.         70.5873
 48.2032     79.2291      0.        ]",[24.905  76.501  77.409  12.6085 80.     70.5873 48.2032 79.2291  0.    ],[0.38540232 0.04335731 0.15648678 0.08139925],[0.41089692 0.03436294 0.05463837 0.05020163],[0.41089692 0.0357235  0.02547922 0.04621304],0.27135295539239146,0.1549195488215489,0.23665000000000003,-0.11643340657084256,0.08173045117845112,-0.03470295539239143,-0.4290847188396138,0.5275670617437445,-0.1278886214532251,4.126060724258423,0.16717839241027832,1.5316734313964844,24.6805861976021,2.693825354466414,0.10914754345373444
22,"[23.06994814  0.20808067  0.64592723 23.8491     55.         92.805
 62.4949     69.4505      0.        ]","[28.28300404  0.          0.         23.8491     55.         92.805
 62.4949     69.4505      0.        ]",[ 7.3385 76.501  79.5878 23.8491 55.     92.805  62.4949 69.4505  0.    ],[7.06103668e-04 2.41493266e-03 5.25366604e-01 9.55082059e-01],[6.73375583e-04 2.21569913e-03 3.59383225e-01 9.27011132e-01],[0.05628192 0.14146124 0.00383546 0.09998013],0.7407198008017775,0.7609433468013468,0.17083233333333336,0.020223545999569326,-0.5901110134680134,-0.5698874674684441,0.02730255891320679,-0.7754992746156026,-0.7693698303347375,5.0791237354278564,0.25090813636779785,0.9402031898498535,20.242961463722878,5.40215539604686,0.266865863758521
23,"[ 0.87525679 77.67545304 74.33211345 36.5158     41.          0.0984
 46.9414     81.486       0.        ]","[ 1.01338586 74.501      75.6382     36.5158     41.          0.0984
 46.9414     81.486       0.        ]",[27.9103 75.2505 77.4337 36.5158 41.      0.0984 46.9414 81.486   0.    ],[0.65781534 0.74314431 0.03342492 0.81561399],[0.65781534 0.65628479 0.03342492 0.77569443],[0.65781534 0.59342933 0.02408061 0.59307128],0.16289230103049102,0.16958061952861958,0.25075366666666676,0.006688318498128565,0.08117304713804718,0.08786136563617575,0.04105975823176941,0.47866936306567665,0.5393831696178778,4.452094316482544,0.5664005279541016,1.4091167449951172,7.8603286839508755,3.159492875445158,0.40195429510424574
24,"[ 0.8700237  94.26562954 89.91631725 79.1366     63.         69.7259
 55.7071     68.2353      0.        ]","[ 1.01338586 93.9330303  52.52587071 79.1366     63.         69.7259
 55.7071     68.2353      0.        ]",[35.5216 75.5481 89.994  79.1366 63.     69.7259 55.7071 68.2353  0.    ],[0.46848577 0.82597767 0.82528007 0.8709355 ],[0.43337054 0.75800807 0.71861857 0.85805023],[0.44997446 0.66912036 0.40977231 0.61168987],0.055626923019066576,0.18184828282828291,0.23326500000000006,0.12622135980921634,0.05141671717171714,0.17763807698093348,2.2690695972155956,0.2827451344166352,3.1933831198976543,4.587029695510864,0.16906452178955078,0.7887723445892334,27.131829002070205,5.815403806911661,0.2143388050421494
25,"[6.24557742e-03 4.42909636e+01 4.79127752e+01 1.41078000e+01
 4.00000000e+01 6.18928000e+01 9.52120000e+00 3.29336000e+01
 1.00000000e+00]","[3.40000000e-03 9.99914000e+01 6.56549384e+01 1.41078000e+01
 4.00000000e+01 6.18928000e+01 9.52120000e+00 3.29336000e+01
 1.00000000e+00]",[26.3526 50.2905 76.2045 14.1078 40.     61.8928  9.5212 32.9336  1.    ],[0.86328837 0.03583864 0.68489099 0.8530761 ],[0.88424338 0.05346458 0.46081752 0.95052785],[0.88625706 0.02973764 0.48572576 0.81204402],0.35934168906372976,0.11452353872053866,0.33285866666666664,-0.2448181503431911,0.21833512794612797,-0.026483022397063127,-0.6812962642354927,1.9064650846924251,-0.07369871963941908,4.567188262939453,0.08081936836242676,1.3812739849090576,56.51106109191961,3.306504222071593,0.05851074388239337
26,"[ 0.8777829  90.22176069 99.42912174 43.5842     72.         77.9076
 34.1813     50.5773      0.        ]","[ 1.01338586 90.90384545 98.98257172 43.5842     72.         77.9076
 34.1813     50.5773      0.        ]",[30.6845 87.7555 88.2495 43.5842 72.     77.9076 34.1813 50.5773  0.    ],[0.33780554 0.80199663 0.30767938 0.60706717],[0.33780554 0.72774784 0.30767938 0.57462865],[0.32133608 0.65104804 0.1376854  0.44630364],0.0374230015933974,0.037089895622895774,0.182265,-0.0003331059705016237,0.14517510437710424,0.1448419984066026,-0.008901102432157504,3.9141416264187847,3.870400348435902,4.767396688461304,0.1941661834716797,1.3498992919921875,24.553177094077544,3.5316684116676273,0.14383753263928922
27,"[ 0.85440498 99.97851511 84.46736459 86.4162     91.         51.7155
 67.7377     45.9344      1.        ]","[22.22308889 99.9914     78.78400606 86.4162     91.         51.7155
 67.7377     45.9344      1.        ]",[22.7355 75.2505 59.392  86.4162 91.     51.7155 67.7377 45.9344  1.    ],[0.95411497 0.50565817 0.99870813 0.99812049],[0.95411497 0.49455624 0.99809986 0.99775082],[0.95411497 0.36155059 0.99516171 0.98928016],0.05469508423299996,0.14482560942760947,0.29364333333333337,0.09013052519460951,0.1488177239057239,0.2389482491003334,1.6478725000341035,1.0275649762075392,4.368733542532245,5.583203554153442,0.2801985740661621,0.9088680744171143,19.925881395938525,6.1430296775845346,0.30829399992497514
