,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom
0,"[ 0.91130927 99.88073042 20.77508913 11.5913     26.         17.4864
 24.0611     79.1389      1.        ]","[ 7.4942     98.98185758 78.054      11.5913     26.         17.4864
 24.0611     79.1389      1.        ]",[ 0.     73.8541 83.108  11.5913 26.     17.4864 24.0611 79.1389  1.    ],[0.96877855 0.26       0.25046183 0.43      ],[0.9700508  0.23       0.23851038 0.28      ],[0.96968505 0.08       0.30480229 0.15      ],0.2675182990818574,0.10152780808080819,0.14345966666666665,-0.16599049100104923,0.04193185858585846,-0.12405863241519077,-0.6204827541545415,0.41300860698660985,-0.4637388651205139,5.301019906997681,0.4737589359283447,1.7434730529785156,11.18927687687869,3.0404943156084463,0.27173286969877974
1,"[ 0.32178317 83.72883998 99.3452742  53.0146     25.         80.1623
 22.736      59.8891      0.        ]","[2.77000000e-02 4.44665667e+01 9.89761909e+01 5.30146000e+01
 2.50000000e+01 8.01623000e+01 2.27360000e+01 5.98891000e+01
 0.00000000e+00]",[30.438  54.6055 70.782  53.0146 25.     80.1623 22.736  59.8891  0.    ],[0.29869098 0.84       0.32110452 0.33      ],[0.26326828 0.8        0.24846497 0.41      ],[0.24965525 1.         0.07415693 0.21      ],0.05749222994995984,0.18861647474747467,0.3501683333333333,0.13112424479751483,0.16155185858585863,0.29267610338337346,2.280729846653068,0.8565097974720874,5.09070710317052,5.314454078674316,0.16018152236938477,1.6198608875274658,33.17769740269405,3.280808938344223,0.09888597447024214
2,"[41.59116192 25.13065443 55.6117408  84.2856     70.          4.8745
 45.0694     75.2252      1.        ]","[26.17511818 56.81963636 36.94615455 84.2856     70.          4.8745
 45.0694     75.2252      1.        ]",[ 9.8527 60.0515 57.1335 84.2856 70.      4.8745 45.0694 75.2252  1.    ],[0.91108765 0.8        0.90237199 0.97      ],[0.95887384 0.8        0.94242754 1.        ],[[0.96103688 0.8        0.96637235 0.99      ]],0.5361625556204335,0.4413644242424243,0.3088923333333333,-0.09479813137800919,-0.13247209090909096,-0.22727022228710014,-0.17680856371685866,-0.3001422036596434,-0.42388305543662763,60.794743061065674,22.5384202003479,0.2628366947174072,2.697382625785247,231.30234203572695,85.75066059394948
3,"[ 0.57551091 85.35067942 98.97358909 35.8731     44.         52.2195
 27.4524     59.7234      0.        ]","[2.77000000e-02 9.99914000e+01 9.89761909e+01 3.58731000e+01
 4.40000000e+01 5.22195000e+01 2.74524000e+01 5.97234000e+01
 0.00000000e+00]",[34.3106 77.5103 61.296  35.8731 44.     52.2195 27.4524 59.7234  0.    ],[0.72770821 0.88       0.2831523  0.42      ],[0.72770821 0.75       0.2831523  0.41      ],[0.66014579 0.98       0.0910081  0.31      ],0.054170808006772764,0.0035336969696968534,0.3183476666666666,-0.05063711103707591,0.31481396969696973,0.2641768586598938,-0.9347675048661809,89.08912461839556,4.876738383279512,5.162232875823975,0.17562222480773926,1.958714485168457,29.393961279532128,2.6355208555983096,0.08966198296768867
4,"[11.38252445 26.99661602 96.29267525 39.5348     99.         77.1167
  9.5332     52.1115      1.        ]","[13.13416869 83.83872121 95.95366364 39.5348     99.         77.1167
  9.5332     52.1115      1.        ]",[15.2655 96.8725 96.459  39.5348 99.     77.1167  9.5332 52.1115  1.    ],[0.89577121 0.73       0.83396397 0.89      ],[0.90319652 0.69       0.92685524 0.98      ],[[0.90319652 0.69       0.91291529 0.97      ]],0.2936441106118658,0.11113927946127944,0.07311333333333347,-0.18250483115058636,-0.038025946127945964,-0.22053077727853232,-0.6215170832825535,-0.34214677575981656,-0.7510137929175991,5.260644435882568,2.1802806854248047,1.8921217918395996,2.4128289862172436,2.780288488072404,1.1522940514865299
5,"[12.71263585 99.13250841 19.65735244 11.2155     56.         19.8561
 92.9561      3.898       1.        ]","[ 7.0277     98.9914     97.97619091 11.2155     56.         19.8561
 92.9561      3.898       1.        ]",[16.177  95.88   71.869  11.2155 56.     19.8561 92.9561  3.898   1.    ],[0.95113184 0.18       0.02091303 0.37      ],[0.97432505 0.15       0.02908193 0.28      ],[0.97311    0.02       0.00912811 0.22      ],0.31307591669048707,0.03353369696969688,0.1614266666666666,-0.2795422197207902,0.12789296969696973,-0.15164925002382046,-0.8928895670922878,3.8138642993208207,-0.48438491094076663,4.830563306808472,0.9428355693817139,1.2730801105499268,5.1234419486063985,3.794390680349122,0.740594061260168
6,"[49.9942564  49.30713343 41.91929649 71.723      85.         59.8164
 66.3091     45.7969      1.        ]","[29.12597879 82.2562     38.7177     71.723      85.         59.8164
 66.3091     45.7969      1.        ]",[33.2054 96.2487 68.7977 71.723  85.     59.8164 66.3091 45.7969  1.    ],[0.95843226 0.8        0.80371162 1.        ],[0.96024447 0.8        0.87575948 0.99      ],[[0.9624387  0.81       0.93833784 1.        ]],0.5292260882765194,0.36050692929292927,0.2271966666666666,-0.16871915898359013,-0.13331026262626267,-0.3020294216098528,-0.31880355621364376,-0.36978557634863557,-0.5707001757858224,51.44979643821716,16.895796060562134,1.408144474029541,3.045124139389346,36.53729953645212,11.998623985089532
7,"[7.06709148e-02 9.93798302e+01 9.91936658e+01 6.40097000e+01
 9.00000000e+01 7.69651000e+01 9.39879000e+01 2.32153000e+01
 0.00000000e+00]","[2.77000000e-02 9.99914000e+01 9.89761909e+01 6.40097000e+01
 9.00000000e+01 7.69651000e+01 9.39879000e+01 2.32153000e+01
 0.00000000e+00]",[20.8451 84.9625 83.4334 64.0097 90.     76.9651 93.9879 23.2153  0.    ],[0.52829288 0.81       0.08130058 0.21      ],[0.52829288 0.81       0.08130058 0.2       ],[0.52339426 0.92       0.02163254 0.03      ],0.004990582942324018,0.0035336969696968534,0.1748306666666667,-0.0014568859726271643,0.17129696969696984,0.16984008372434267,-0.2919270132295849,48.47528556237943,34.0321132194732,5.210180759429932,0.1548786163330078,1.699841022491455,33.64041391115873,3.065098847769526,0.09111358902610928
8,"[28.10417789 99.4514635  98.15473076 30.6188     47.         26.9452
 51.2245     39.7058      0.        ]","[2.77000000e-02 8.38387212e+01 9.89761909e+01 3.06188000e+01
 4.70000000e+01 2.69452000e+01 5.12245000e+01 3.97058000e+01
 0.00000000e+00]",[34.1615 62.7551 86.189  30.6188 47.     26.9452 51.2245 39.7058  0.    ],[0.8039802  0.8        0.42049528 0.41      ],[0.79889498 0.77       0.2227339  0.51      ],[0.77223605 0.92       0.07890977 0.26      ],0.10165994543531254,0.05737595959595965,0.28405800000000003,-0.04428398583935289,0.22668204040404039,0.1823980545646875,-0.43560898689967653,3.9508191584128745,1.7941978404931331,6.305018424987793,0.18130087852478027,2.021106481552124,34.77654645852155,3.1195874549597242,0.0897037737395948
9,"[ 0.30858807 99.36880856 98.78988003 50.7318     72.         81.4201
 82.3046     27.0352      0.        ]","[2.77000000e-02 9.99914000e+01 9.89761909e+01 5.07318000e+01
 7.20000000e+01 8.14201000e+01 8.23046000e+01 2.70352000e+01
 0.00000000e+00]",[26.8075 84.9625 68.963  50.7318 72.     81.4201 82.3046 27.0352  0.    ],[0.43233382 0.85       0.2595122  0.28      ],[0.43233382 0.76       0.2595122  0.27      ],[0.4149244  0.95       0.06392518 0.05      ],0.007166331619044564,0.0035336969696968534,0.24294000000000004,-0.00363263464934771,0.2394063030303032,0.23577366838095548,-0.5069029515315708,67.74952835042933,32.9001895131933,5.905905485153198,0.15240979194641113,1.8985002040863037,38.75017090260038,3.110826889795121,0.0802790495457238
10,"[ 0.83451973 99.44151038 98.7244971  77.7837     42.         67.7128
 36.8217     79.4941      0.        ]","[18.17511818 97.97231515 97.96868182 77.7837     42.         67.7128
 36.8217     79.4941      0.        ]",[32.3831 88.015  98.3146 77.7837 42.     67.7128 36.8217 79.4941  0.    ],[0.61141482 0.91       0.34472788 0.56      ],[0.57326994 0.98       0.25810633 0.46      ],[0.53537649 0.98       0.2303423  0.53      ],0.008895040821800704,0.07411373737373728,0.1535116666666666,0.06521869655193657,0.07939792929292933,0.1446166258448659,7.332028920215091,1.0712984138493133,16.258118286588125,6.338253736495972,0.2088613510131836,1.2204153537750244,30.34670467154018,5.19352179312584,0.17113956356508261
11,"[28.13191375 99.59913717 98.73435733 57.9443      6.         57.121
 59.1752     17.1823      0.        ]","[2.77000000e-02 9.99914000e+01 9.79761909e+01 5.79443000e+01
 6.00000000e+00 5.71210000e+01 5.91752000e+01 1.71823000e+01
 0.00000000e+00]",[22.5575 99.8843 71.7514 57.9443  6.     57.121  59.1752 17.1823  0.    ],[0.42196895 0.78       0.20026816 0.31      ],[0.40527359 0.79       0.12178287 0.32      ],[0.39074289 0.86       0.03312001 0.2       ],0.09932806416875639,0.006867030303030264,0.16973933333333335,-0.09246103386572613,0.1628723030303031,0.07041126916457696,-0.9308651551754465,23.718011402750218,0.7088758827006799,6.740752696990967,0.3247809410095215,1.0402612686157227,20.754766816176417,6.479865107311836,0.3122109327800967
